x,numerical,analytical,error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.283388598258034530e-01,1.284121586771604373e-01,-7.329885135698432919e-05
1.000000000000000056e-01,2.535175909904395786e-01,2.536623838321681590e-01,-1.447928417285804237e-04
1.500000000000000222e-01,3.724538776882447833e-01,3.726665992400418070e-01,-2.127215517970237890e-04
2.000000000000000111e-01,4.822191138138142152e-01,4.824945261650919748e-01,-2.754123512777595373e-04
2.500000000000000000e-01,5.801105149638031699e-01,5.804418365484320663e-01,-3.313215846288963817e-04
3.000000000000000444e-01,6.637176699589650841e-01,6.640967425399382229e-01,-3.790725809731387841e-04
3.500000000000000333e-01,7.309818931670796216e-01,7.313993827193837616e-01,-4.174895523041399770e-04
4.000000000000000222e-01,7.802469161756053762e-01,7.806925427208941670e-01,-4.456265452887908651e-04
4.500000000000000111e-01,8.102996706168346108e-01,8.107624613506136946e-01,-4.627907337790837516e-04
5.000000000000000000e-01,8.204001579370507891e-01,8.208687174155399058e-01,-4.685594784891167208e-04
5.500000000000000444e-01,8.102996706168346108e-01,8.107624613506135836e-01,-4.627907337789727293e-04
6.000000000000000888e-01,7.802469161756052651e-01,7.806925427208941670e-01,-4.456265452889018874e-04
6.500000000000000222e-01,7.309818931670796216e-01,7.313993827193837616e-01,-4.174895523041399770e-04
7.000000000000000666e-01,6.637176699589649731e-01,6.640967425399382229e-01,-3.790725809732498064e-04
7.500000000000000000e-01,5.801105149638031699e-01,5.804418365484321773e-01,-3.313215846290074040e-04
8.000000000000000444e-01,4.822191138138141597e-01,4.824945261650920303e-01,-2.754123512778705596e-04
8.500000000000000888e-01,3.724538776882447833e-01,3.726665992400415295e-01,-2.127215517967462333e-04
9.000000000000000222e-01,2.535175909904395786e-01,2.536623838321682700e-01,-1.447928417286914460e-04
9.500000000000000666e-01,1.283388598258034530e-01,1.284121586771605206e-01,-7.329885135706759591e-05
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
