x,numerical,analytical
6.250000000000000347e-03,5.664076934821660192e-01,5.665181636704109680e-01
1.875000000000000278e-02,5.802661281196030973e-01,5.804016136507970103e-01
3.125000000000000000e-02,5.967123616528587915e-01,5.968720272136482929e-01
4.375000000000000416e-02,6.156449975832727350e-01,6.158278587823814432e-01
5.625000000000000139e-02,6.369473099145940287e-01,6.371522393519217786e-01
6.875000000000000555e-02,6.604879628075620568e-01,6.607136970249818386e-01
8.125000000000000278e-02,6.861218203090303502e-01,6.863669675800276870e-01
9.375000000000000000e-02,7.136908411633797744e-01,7.139538900735089566e-01
1.062500000000000111e-01,7.430250531894134758e-01,7.433043819546711894e-01
1.187500000000000083e-01,7.739436012153756428e-01,7.742374876810376172e-01
1.312500000000000056e-01,8.062558621112256851e-01,8.065624943695040017e-01
1.437500000000000167e-01,8.397626200436235644e-01,8.400801076046804372e-01
1.562500000000000000e-01,8.742572947077883461e-01,8.745836801552344664e-01
1.687500000000000111e-01,9.095272149637723125e-01,9.098604860227899049e-01
1.812500000000000222e-01,9.453549300247585663e-01,9.456930319684450081e-01
1.937500000000000056e-01,9.815195501134718059e-01,9.818603984309139943e-01
2.062500000000000167e-01,1.017798108321108730e+00,1.018139601569086006e+00
2.187500000000000000e-01,1.053966935272474537e+00,1.054306968031554881e+00
2.312500000000000111e-01,1.089803038122058476e+00,1.090139513977210095e+00
2.437500000000000222e-01,1.125085475379079103e+00,1.125416319844765534e+00
2.562500000000000333e-01,1.159596719085246308e+00,1.159919892395319785e+00
2.687499999999999889e-01,1.193123995946958615e+00,1.193437505630495998e+00
2.812500000000000000e-01,1.225460599153412433e+00,1.225762512318962383e+00
2.937500000000000111e-01,1.256407162792828380e+00,1.256695618045328811e+00
3.062500000000000222e-01,1.285772891009592689e+00,1.286046109926491043e+00
3.187500000000000333e-01,1.313376734324153361e+00,1.313633032419972313e+00
3.312500000000000444e-01,1.339048505863267069e+00,1.339286302975018161e+00
3.437500000000000000e-01,1.362629930618664220e+00,1.362847760648078221e+00
3.562500000000000111e-01,1.383975621265109313e+00,1.384172141217618446e+00
3.687500000000000222e-01,1.402953974521603753e+00,1.403127972786351707e+00
3.812500000000000333e-01,1.419447982529378871e+00,1.419598386349202990e+00
3.937500000000000444e-01,1.433355954244252217e+00,1.433481836329589143e+00
4.062500000000000000e-01,1.444592142395731749e+00,1.444692726641665148e+00
4.187500000000000111e-01,1.453087272147451703e+00,1.453161938418658039e+00
4.312500000000000222e-01,1.458788968199575820e+00,1.458837256153663775e+00
4.437500000000000333e-01,1.461662077699936502e+00,1.461683689625611571e+00
4.562500000000000444e-01,1.461688886973057544e+00,1.461683689625611571e+00
4.687500000000000000e-01,1.458869230730855504e+00,1.458837256153663775e+00
4.812500000000000111e-01,1.453220493091694321e+00,1.453161938418658039e+00
4.937500000000000222e-01,1.444777500401515757e+00,1.444692726641665148e+00
5.062499999999999778e-01,1.433592306517833981e+00,1.433481836329589143e+00
5.187500000000000444e-01,1.419733871880396903e+00,1.419598386349202990e+00
5.312500000000000000e-01,1.403287638347141542e+00,1.403127972786351929e+00
5.437500000000000666e-01,1.384355002416727487e+00,1.384172141217618446e+00
5.562500000000000222e-01,1.363052690085406082e+00,1.362847760648078221e+00
5.687499999999999778e-01,1.339512037192438276e+00,1.339286302975018161e+00
5.812500000000000444e-01,1.313878179690969761e+00,1.313633032419972313e+00
5.937500000000000000e-01,1.286309158836620448e+00,1.286046109926491043e+00
6.062500000000000666e-01,1.256974946810586857e+00,1.256695618045328811e+00
6.187500000000000222e-01,1.226056398784624690e+00,1.225762512318962383e+00
6.312500000000000888e-01,1.193744137888774315e+00,1.193437505630495776e+00
6.437500000000000444e-01,1.160237379956376547e+00,1.159919892395319563e+00
6.562500000000000000e-01,1.125742705292211543e+00,1.125416319844765756e+00
6.687500000000000666e-01,1.090472785036227688e+00,1.090139513977210095e+00
6.812500000000000222e-01,1.054645069975241212e+00,1.054306968031554881e+00
6.937500000000000888e-01,1.018480449886528083e+00,1.018139601569085784e+00
7.062500000000000444e-01,9.822018916788911591e-01,9.818603984309137722e-01
7.187500000000000000e-01,9.460330647275254634e-01,9.456930319684448971e-01
7.312500000000000666e-01,9.101969618779417459e-01,9.098604860227899049e-01
7.437500000000000222e-01,8.749145246209208970e-01,8.745836801552345774e-01
7.562500000000000888e-01,8.404032809147535810e-01,8.400801076046801041e-01
7.687500000000000444e-01,8.068760040530412736e-01,8.065624943695037796e-01
7.812500000000000000e-01,7.745394008465874558e-01,7.742374876810376172e-01
7.937500000000000666e-01,7.435928372071715087e-01,7.433043819546711894e-01
8.062500000000000222e-01,7.142271089904073111e-01,7.139538900735091786e-01
8.187500000000000888e-01,6.866232656758466391e-01,6.863669675800274650e-01
8.312500000000000444e-01,6.609514941367330421e-01,6.607136970249817276e-01
8.437500000000000000e-01,6.373700693813355578e-01,6.371522393519215566e-01
8.562500000000000666e-01,6.160243787348907984e-01,6.158278587823814432e-01
8.687500000000000222e-01,5.970460254783962473e-01,5.968720272136482929e-01
8.812500000000000888e-01,5.805520174706213510e-01,5.804016136507967882e-01
8.937500000000000444e-01,5.666440457557480048e-01,5.665181636704108570e-01
9.062500000000000000e-01,5.554078576042685844e-01,5.553072733583348519e-01
9.187500000000000666e-01,5.469127278525484082e-01,5.468380615813420720e-01
9.312500000000000222e-01,5.412110318004242915e-01,5.411627438463362250e-01
9.437500000000000888e-01,5.383379223000638314e-01,5.383163103743884292e-01
9.562500000000000444e-01,5.383111130269427891e-01,5.383163103743884292e-01
9.687500000000000000e-01,5.411307692691447180e-01,5.411627438463362250e-01
9.812500000000000666e-01,5.467795069083056791e-01,5.468380615813419610e-01
9.937500000000000222e-01,5.552224995984845757e-01,5.553072733583348519e-01
