x,numerical,analytical
3.125000000000000173e-03,5.720378809719343094e-01,5.634619034345890176e-01
9.375000000000001388e-03,5.781860788633356174e-01,5.697415394058420457e-01
1.562500000000000000e-02,5.849846832474467906e-01,5.766846027375758243e-01
2.187500000000000208e-02,5.924232111690801439e-01,5.842803877293761827e-01
2.812500000000000069e-02,6.004901929573357444e-01,5.925171822313394232e-01
3.437500000000000278e-02,6.091731899110027770e-01,6.013822857033579439e-01
4.062500000000000139e-02,6.184588134781348057e-01,6.108620287984338759e-01
4.687500000000000000e-02,6.283327459002265858e-01,6.209417944398196720e-01
5.312500000000000555e-02,6.387797622891602245e-01,6.316060403594923045e-01
5.937500000000000416e-02,6.497837541028790298e-01,6.428383230632039869e-01
6.562500000000000278e-02,6.613277539835912266e-01,6.546213231851573111e-01
7.187500000000000833e-02,6.733939619202067295e-01,6.669368721932134036e-01
7.812500000000000000e-02,6.859637726946633540e-01,6.797659804034503761e-01
8.437500000000000555e-02,6.990178045698249854e-01,6.930888662608805095e-01
9.062500000000001110e-02,7.125359291747151991e-01,7.068849868411736237e-01
9.687500000000000278e-02,7.264973025410066398e-01,7.211330695263576951e-01
1.031250000000000083e-01,7.408803972429086615e-01,7.358111448056537940e-01
1.093750000000000000e-01,7.556630355908988683e-01,7.508965801508693527e-01
1.156250000000000056e-01,7.708224238281112806e-01,7.663661149141163254e-01
1.218750000000000111e-01,7.863351872766588535e-01,7.821958961940438382e-01
1.281250000000000167e-01,8.021774063796911491e-01,7.983615156152837899e-01
1.343749999999999944e-01,8.183246535836183888e-01,8.148380469643959900e-01
1.406250000000000000e-01,8.347520310036278257e-01,8.316000846242831424e-01
1.468750000000000056e-01,8.514342088144180032e-01,8.486217827478103048e-01
1.531250000000000111e-01,8.683454643069530299e-01,8.658768951102282507e-01
1.593750000000000167e-01,8.854597215510155994e-01,8.833388155789496654e-01
1.656250000000000222e-01,9.027505916024014532e-01,9.009806191382769835e-01
1.718750000000000000e-01,9.201914131927587670e-01,9.187751034058251332e-01
1.781250000000000056e-01,9.377552938393309834e-01,9.366948305766237270e-01
1.843750000000000111e-01,9.554151513112167926e-01,9.547121697302228815e-01
1.906250000000000167e-01,9.731437553882062996e-01,9.727993394355706203e-01
1.968750000000000222e-01,9.909137698478076572e-01,9.909284505879654148e-01
2.031250000000000000e-01,1.008697794615720733e+00,1.009071549412034585e+00
2.093750000000000056e-01,1.026468408014765021e+00,1.027200660564429491e+00
2.156250000000000111e-01,1.044198209047119130e+00,1.045287830269777229e+00
2.218750000000000167e-01,1.061859859644672666e+00,1.063305169423376384e+00
2.281250000000000222e-01,1.079426126822345955e+00,1.081224896594174867e+00
2.343750000000000000e-01,1.096869924669380048e+00,1.099019380861723016e+00
2.406250000000000056e-01,1.114164356113845900e+00,1.116661184421050335e+00
2.468750000000000111e-01,1.131282754395982026e+00,1.134123104889771749e+00
2.531249999999999889e-01,1.148198724186403119e+00,1.151378217252189584e+00
2.593750000000000222e-01,1.164886182285786775e+00,1.168399915375716969e+00
2.656250000000000000e-01,1.181319397843274555e+00,1.185161953035603899e+00
2.718750000000000333e-01,1.197473032031580287e+00,1.201638484384716321e+00
2.781250000000000111e-01,1.213322177117624134e+00,1.217804103805956162e+00
2.843749999999999889e-01,1.228842394868452370e+00,1.233633885085883675e+00
2.906250000000000222e-01,1.244009754233221354e+00,1.249103419849130647e+00
2.968750000000000000e-01,1.258800868243142190e+00,1.264188855194346095e+00
3.031250000000000333e-01,1.273192930072493345e+00,1.278866930473642416e+00
3.093750000000000111e-01,1.287163748205091496e+00,1.293115013158826265e+00
3.156250000000000444e-01,1.300691780652000640e+00,1.306911133739119490e+00
3.218750000000000222e-01,1.313756168167719673e+00,1.320234019596549624e+00
3.281250000000000000e-01,1.326336766413624746e+00,1.333063127806786596e+00
3.343750000000000333e-01,1.338414177019080720e+00,1.345378676814842578e+00
3.406250000000000111e-01,1.349969777492322054e+00,1.357161676936796013e+00
3.468750000000000444e-01,1.360985749934985778e+00,1.368393959640507695e+00
3.531250000000000222e-01,1.371445108516018863e+00,1.379058205560180328e+00
3.593750000000000000e-01,1.381331725662598764e+00,1.389137971201566124e+00
3.656250000000000333e-01,1.390630356927681666e+00,1.398617714296642056e+00
3.718750000000000111e-01,1.399326664495835315e+00,1.407482817768660688e+00
3.781250000000000444e-01,1.407407239291110113e+00,1.415719612270623706e+00
3.843750000000000222e-01,1.414859621652863941e+00,1.423315397262424176e+00
3.906250000000000000e-01,1.421672320547654467e+00,1.430258460594157954e+00
3.968750000000000333e-01,1.427834831287579709e+00,1.436538096565410871e+00
4.031250000000000111e-01,1.433337651727746964e+00,1.442144622432672385e+00
4.093750000000000444e-01,1.438172296917889170e+00,1.447069393339424304e+00
4.156250000000000222e-01,1.442331312185545888e+00,1.451304815645882762e+00
4.218750000000000000e-01,1.445808284630625495e+00,1.454844358637840784e+00
4.281250000000000333e-01,1.448597853013633863e+00,1.457682564596556318e+00
4.343750000000000111e-01,1.450695716022316173e+00,1.459815057214157719e+00
4.406250000000000444e-01,1.452098638903968952e+00,1.461238548341595056e+00
4.468750000000000222e-01,1.452804458453194947e+00,1.461950843058726690e+00
4.531250000000000000e-01,1.452812086347408105e+00,1.461950843058726690e+00
4.593750000000000333e-01,1.452121510824948114e+00,1.461238548341595056e+00
4.656250000000000111e-01,1.450733796703217227e+00,1.459815057214157719e+00
4.718750000000000444e-01,1.448651083736806955e+00,1.457682564596556318e+00
4.781250000000000222e-01,1.445876583318153941e+00,1.454844358637840784e+00
4.843750000000000000e-01,1.442414573525803378e+00,1.451304815645882762e+00
4.906250000000000333e-01,1.438270392527924324e+00,1.447069393339424304e+00
4.968750000000000111e-01,1.433450430351238758e+00,1.442144622432672385e+00
5.031250000000000444e-01,1.427962119028065802e+00,1.436538096565410871e+00
5.093750000000000222e-01,1.421813921136664272e+00,1.430258460594157954e+00
5.156250000000000000e-01,1.415015316752553209e+00,1.423315397262424176e+00
5.218749999999999778e-01,1.407576788830919856e+00,1.415719612270623706e+00
5.281250000000000666e-01,1.399509807042664145e+00,1.407482817768660466e+00
5.343750000000000444e-01,1.390826810088997112e+00,1.398617714296642056e+00
5.406250000000000222e-01,1.381541186521865416e+00,1.389137971201566124e+00
5.468750000000000000e-01,1.371667254099773414e+00,1.379058205560180550e+00
5.531249999999999778e-01,1.361220237710839776e+00,1.368393959640507695e+00
5.593750000000000666e-01,1.350216245897120970e+00,1.357161676936796013e+00
5.656250000000000444e-01,1.338672246016408662e+00,1.345378676814842578e+00
5.718750000000000222e-01,1.326606038079793271e+00,1.333063127806786596e+00
5.781250000000000000e-01,1.314036227305336535e+00,1.320234019596549624e+00
5.843749999999999778e-01,1.300982195430175015e+00,1.306911133739119490e+00
5.906250000000000666e-01,1.287464070825284690e+00,1.293115013158826265e+00
5.968750000000000444e-01,1.273502697458993360e+00,1.278866930473642194e+00
6.031250000000000222e-01,1.259119602757091227e+00,1.264188855194346317e+00
6.093750000000000000e-01,1.244336964409101132e+00,1.249103419849130647e+00
6.156250000000000888e-01,1.229177576171888608e+00,1.233633885085883453e+00
6.218750000000000666e-01,1.213664812723340924e+00,1.217804103805956162e+00
6.281250000000000444e-01,1.197822593620308629e+00,1.201638484384716321e+00
6.343750000000000222e-01,1.181675346416381389e+00,1.185161953035604121e+00
6.406250000000000000e-01,1.165247968996371952e+00,1.168399915375716747e+00
6.468750000000000888e-01,1.148565791185581775e+00,1.151378217252189584e+00
6.531250000000000666e-01,1.131654535693046748e+00,1.134123104889771527e+00
6.593750000000000444e-01,1.114540278448984179e+00,1.116661184421050335e+00
6.656250000000000222e-01,1.097249408397598325e+00,1.099019380861723016e+00
6.718750000000000000e-01,1.079808586807241122e+00,1.081224896594174867e+00
6.781250000000000888e-01,1.062244706160668573e+00,1.063305169423376162e+00
6.843750000000000666e-01,1.044584848688782763e+00,1.045287830269777007e+00
6.906250000000000444e-01,1.026856244611793256e+00,1.027200660564429491e+00
6.968750000000000222e-01,1.009086230152191899e+00,1.009071549412034807e+00
7.031250000000000000e-01,9.913022053842789338e-01,9.909284505879654148e-01
7.093750000000000888e-01,9.735315919852345345e-01,9.727993394355702872e-01
7.156250000000000666e-01,9.558017909528805367e-01,9.547121697302228815e-01
7.218750000000000444e-01,9.381401403553270013e-01,9.366948305766233940e-01
7.281250000000000222e-01,9.205738731776536010e-01,9.187751034058254662e-01
7.343750000000000000e-01,9.031300753306196194e-01,9.009806191382768725e-01
7.406250000000000888e-01,8.858356438861537674e-01,8.833388155789492213e-01
7.468750000000000666e-01,8.687172456040177515e-01,8.658768951102283618e-01
7.531250000000000444e-01,8.518012758135965479e-01,8.486217827478100828e-01
7.593750000000000222e-01,8.351138177142128916e-01,8.316000846242832534e-01
7.656250000000000000e-01,8.186806021567251124e-01,8.148380469643961010e-01
7.718750000000000888e-01,8.025269679684194912e-01,7.983615156152834569e-01
7.781250000000000666e-01,7.866778228823756436e-01,7.821958961940438382e-01
7.843750000000000444e-01,7.711576051315474079e-01,7.663661149141159923e-01
7.906250000000000222e-01,7.559902457667787568e-01,7.508965801508695748e-01
7.968750000000000000e-01,7.411991317568578097e-01,7.358111448056536830e-01
8.031250000000000888e-01,7.268070699275067659e-01,7.211330695263573620e-01
8.093750000000000666e-01,7.128362517949087263e-01,7.068849868411737347e-01
8.156250000000000444e-01,6.993082193479993602e-01,6.930888662608802875e-01
8.218750000000000222e-01,6.862438318322804376e-01,6.797659804034503761e-01
8.281250000000000000e-01,6.736632335863753651e-01,6.669368721932134036e-01
8.343750000000000888e-01,6.615858229809193913e-01,6.546213231851572001e-01
8.406250000000000666e-01,6.500302225076780571e-01,6.428383230632040979e-01
8.468750000000000444e-01,6.390142500650143331e-01,6.316060403594923045e-01
8.531250000000000222e-01,6.285548914839813595e-01,6.209417944398196720e-01
8.593750000000000000e-01,6.186682743374014581e-01,6.108620287984337649e-01
8.656250000000000888e-01,6.093696430723184454e-01,6.013822857033579439e-01
8.718750000000000666e-01,6.006733355041649070e-01,5.925171822313394232e-01
8.781250000000000444e-01,5.925927607088897764e-01,5.842803877293760717e-01
8.843750000000000222e-01,5.851403783471359477e-01,5.766846027375759354e-01
8.906250000000000000e-01,5.783276794523456443e-01,5.697415394058419347e-01
8.968750000000000888e-01,5.721651687124201802e-01,5.634619034345889066e-01
9.031250000000000666e-01,5.666623482722531469e-01,5.578553775673276149e-01
9.093750000000000444e-01,5.618277030821107187e-01,5.529306066605756964e-01
9.156250000000000222e-01,5.576686878144541115e-01,5.486951843541172380e-01
9.218750000000000000e-01,5.541917153693745046e-01,5.451556413621591046e-01
9.281250000000000888e-01,5.514021469863662483e-01,5.423174354034436817e-01
9.343750000000000666e-01,5.493042839776840491e-01,5.401849427858422814e-01
9.406250000000000444e-01,5.479013610960311587e-01,5.387614516584049440e-01
9.468750000000000222e-01,5.471955415468050532e-01,5.380491569412734210e-01
9.531250000000000000e-01,5.471879136525920062e-01,5.380491569412734210e-01
9.593750000000000888e-01,5.478784891750518860e-01,5.387614516584049440e-01
9.656250000000000666e-01,5.492662032967829955e-01,5.401849427858422814e-01
9.718750000000000444e-01,5.513489162631932672e-01,5.423174354034439038e-01
