x,numerical,analytical
1.250000000000000069e-02,5.729047404518559095e-01,5.731307879681762918e-01
3.750000000000000555e-02,6.057306863603902913e-01,6.060462189099642405e-01
6.250000000000000000e-02,6.482648512755642134e-01,6.486620993998286622e-01
8.750000000000000833e-02,6.994599028943655483e-01,6.999290850261103980e-01
1.125000000000000028e-01,7.580552491393045544e-01,7.585848124573199014e-01
1.375000000000000111e-01,8.226080781190259206e-01,8.231849830169022386e-01
1.625000000000000056e-01,8.915288849454924280e-01,8.921389261100063361e-01
1.875000000000000000e-01,9.631206106195923100e-01,9.637487668126629714e-01
2.125000000000000222e-01,1.035620429255914132e+00,1.036251233187337029e+00
2.375000000000000167e-01,1.107243154706527788e+00,1.107861073889993664e+00
2.625000000000000111e-01,1.176225197768642428e+00,1.176815016983097761e+00
2.875000000000000333e-01,1.240867991603792575e+00,1.241415187542680210e+00
3.125000000000000000e-01,1.299579816090625117e+00,1.300070914973889602e+00
3.375000000000000222e-01,1.350914991256899178e+00,1.351337900600171338e+00
3.625000000000000444e-01,1.393609474718342955e+00,1.393953781090035760e+00
3.875000000000000111e-01,1.426611986597268622e+00,1.426869212031823597e+00
4.125000000000000333e-01,1.449109895522159963e+00,1.449273706275696183e+00
4.375000000000000000e-01,1.460549228309006908e+00,1.460615590817115672e+00
4.625000000000000222e-01,1.460648310619629076e+00,1.460615590817115672e+00
4.875000000000000444e-01,1.449404702718702698e+00,1.449273706275696183e+00
5.125000000000000666e-01,1.427095259548144313e+00,1.426869212031823597e+00
5.374999999999999778e-01,1.394269313639609820e+00,1.393953781090035760e+00
5.625000000000000000e-01,1.351735148724436009e+00,1.351337900600171338e+00
5.875000000000000222e-01,1.300540097105634674e+00,1.300070914973889824e+00
6.125000000000000444e-01,1.241944750860695557e+00,1.241415187542680210e+00
6.375000000000000666e-01,1.177391921880974301e+00,1.176815016983097539e+00
6.625000000000000888e-01,1.108471115054507905e+00,1.107861073889993442e+00
6.875000000000000000e-01,1.036879389380407801e+00,1.036251233187337029e+00
7.125000000000000222e-01,9.643795707440860898e-01,9.637487668126631934e-01
7.375000000000000444e-01,8.927568452934722121e-01,8.921389261100061141e-01
7.625000000000000666e-01,8.237748022313577945e-01,8.231849830169022386e-01
7.875000000000000888e-01,7.591320083962073140e-01,7.585848124573195683e-01
8.125000000000000000e-01,7.004201839093751047e-01,6.999290850261101760e-01
8.375000000000000222e-01,6.490850087431009330e-01,6.486620993998287732e-01
8.625000000000000444e-01,6.063905252816572666e-01,6.060462189099642405e-01
8.875000000000000666e-01,5.733880134027312669e-01,5.731307879681764028e-01
9.125000000000000888e-01,5.508901044778400369e-01,5.507262937243038170e-01
9.375000000000000000e-01,5.394507716909928696e-01,5.393844091828843279e-01
9.625000000000000222e-01,5.393516893803709245e-01,5.393844091828843279e-01
9.875000000000000444e-01,5.505952972812973023e-01,5.507262937243038170e-01
