x,numerical,analytical
1.250000000000000069e-02,5.950844189908438553e-01,5.731307879681762918e-01
3.750000000000000555e-02,6.259207549439543827e-01,6.060462189099642405e-01
6.250000000000000000e-02,6.659681634081809909e-01,6.486620993998286622e-01
8.750000000000000833e-02,7.142405442774057978e-01,6.999290850261103980e-01
1.125000000000000028e-01,7.695492713277815033e-01,7.585848124573199014e-01
1.375000000000000111e-01,8.305324601401865570e-01,8.231849830169022386e-01
1.625000000000000056e-01,8.956885022144595032e-01,8.921389261100063361e-01
1.875000000000000000e-01,9.634130395542256364e-01,9.637487668126629714e-01
2.125000000000000222e-01,1.032038469285326832e+00,1.036251233187337029e+00
2.375000000000000167e-01,1.099875005573039966e+00,1.107861073889993664e+00
2.625000000000000111e-01,1.165252287757405192e+00,1.176815016983097761e+00
2.875000000000000333e-01,1.226560510176283092e+00,1.241415187542680210e+00
3.125000000000000000e-01,1.282290060923397146e+00,1.300070914973889602e+00
3.375000000000000222e-01,1.331068693503577149e+00,1.351337900600171338e+00
3.625000000000000444e-01,1.371695316095700168e+00,1.393953781090035760e+00
3.875000000000000111e-01,1.403169566419516956e+00,1.426869212031823597e+00
4.125000000000000333e-01,1.424716443975007740e+00,1.449273706275696183e+00
4.375000000000000000e-01,1.435805393126769580e+00,1.460615590817115672e+00
4.625000000000000222e-01,1.436163367144573488e+00,1.460615590817115672e+00
4.875000000000000444e-01,1.425781551520053592e+00,1.449273706275696183e+00
5.125000000000000666e-01,1.404915581009156256e+00,1.426869212031823597e+00
5.374999999999999778e-01,1.374079245056045506e+00,1.393953781090035760e+00
5.625000000000000000e-01,1.334031836591818898e+00,1.351337900600171338e+00
5.875000000000000222e-01,1.285759455722594202e+00,1.300070914973889824e+00
6.125000000000000444e-01,1.230450728672218608e+00,1.241415187542680210e+00
6.375000000000000666e-01,1.169467539859813554e+00,1.176815016983097539e+00
6.625000000000000888e-01,1.104311497785540608e+00,1.107861073889993442e+00
6.875000000000000000e-01,1.036586960445774475e+00,1.036251233187337029e+00
7.125000000000000222e-01,9.679615307146731684e-01,9.637487668126631934e-01
7.375000000000000444e-01,9.001249944269601455e-01,8.921389261100061141e-01
7.625000000000000666e-01,8.347477122425950302e-01,8.231849830169022386e-01
7.875000000000000888e-01,7.734394898237169080e-01,7.585848124573195683e-01
8.125000000000000000e-01,7.177099390766030762e-01,6.999290850261101760e-01
8.375000000000000222e-01,6.689313064964228506e-01,6.486620993998287732e-01
8.625000000000000444e-01,6.283046839043000542e-01,6.060462189099642405e-01
8.875000000000000666e-01,5.968304335804830441e-01,5.731307879681764028e-01
9.125000000000000888e-01,5.752835560249923708e-01,5.507262937243038170e-01
9.375000000000000000e-01,5.641946068732306419e-01,5.393844091828843279e-01
9.625000000000000222e-01,5.638366328554267337e-01,5.393844091828843279e-01
9.875000000000000444e-01,5.742184484799465194e-01,5.507262937243038170e-01
