dimension,cycle,mesh,cells,unknowns,sample_relative_error,solve_seconds,max_divergence
2,0,adaptive,25,64,0.36193268339128537,0.00016568399951211177,5.827586677109589e-17
2,0,uniform,25,64,0.36193268339128537,0.00019195299955754308,5.827586677109589e-17
2,1,adaptive,49,132,0.11119028497825857,0.0004134580003665178,2.3581397251559717e-16
2,1,uniform,49,132,0.1871299419629771,0.00028279599973757286,3.2672432467850666e-16
2,2,adaptive,81,224,0.06956519271168057,0.00043896600072912406,9.188613411814644e-16
2,2,uniform,81,224,0.08595568404670033,0.0005332950004230952,8.738127409146923e-16
3,0,adaptive,125,424,0.41870123320531666,0.0017156650001197704,4.4854695896300466e-17
3,0,uniform,125,424,0.41870123320531666,0.0016067449996626237,4.4854695896300466e-17
3,1,adaptive,343,1224,0.14664944959282822,0.010122949000106019,8.318922333221288e-16
3,1,uniform,343,1224,0.225121310988722,0.010605368999677012,2.6168221644967824e-16
3,2,adaptive,729,2672,0.07495828320393629,0.04863246800050547,2.8738967632501375e-15
3,2,uniform,729,2672,0.10567549707182597,0.04577530200003821,1.1326255637723749e-15
