x,y,u,v,pressure,theta,vorticity
1.562500000000000000e-02,1.562500000000000000e-02,7.211807045993353152e-05,-7.211807046005212969e-05,1.061271691916836762e-02,5.000000000000000000e-01,5.828496037218242228e-03
4.687500000000000000e-02,1.562500000000000000e-02,1.247704372789146157e-04,1.946570364095244059e-05,1.040381024438463350e-02,5.000000000000000000e-01,1.799956516649402899e-02
7.812500000000000000e-02,1.562500000000000000e-02,-6.656983277939735461e-05,1.718745664173595500e-04,1.001490006357710905e-02,5.000000000000000000e-01,4.110445895981392622e-02
1.093750000000000000e-01,1.562500000000000000e-02,-5.544110223380234546e-04,3.159666231412664957e-04,9.571999647404006578e-03,5.000000000000000000e-01,7.381149190547939276e-02
1.406250000000000000e-01,1.562500000000000000e-02,-1.299861934515669955e-03,4.294842890363799503e-04,9.165748133450430865e-03,5.000000000000000000e-01,1.160694325235012009e-01
1.718750000000000000e-01,1.562500000000000000e-02,-2.238308049228029256e-03,5.089618256759795680e-04,8.852439944861630050e-03,5.000000000000000000e-01,1.662963208312741858e-01
2.031250000000000000e-01,1.562500000000000000e-02,-3.304821670100569972e-03,5.575517951965609309e-04,8.663604284827965130e-03,5.000000000000000000e-01,2.222279113593403910e-01
2.343750000000000000e-01,1.562500000000000000e-02,-4.442264440291793064e-03,5.798909749946625945e-04,8.615137641348061606e-03,5.000000000000000000e-01,2.814263166481859035e-01
2.656250000000000000e-01,1.562500000000000000e-02,-5.602196250269673300e-03,5.800408349832169913e-04,8.713894713559690308e-03,5.000000000000000000e-01,3.415235431556196688e-01
2.968750000000000000e-01,1.562500000000000000e-02,-6.743071838899315253e-03,5.608347536464252867e-04,8.961696287095904240e-03,5.000000000000000000e-01,4.003070891920778585e-01
3.281250000000000000e-01,1.562500000000000000e-02,-7.827805229440782525e-03,5.238986368950414437e-04,9.357241748786776156e-03,5.000000000000000000e-01,4.557287009472663075e-01
3.593750000000000000e-01,1.562500000000000000e-02,-8.821693624394229272e-03,4.699897580584069291e-04,9.896506696579050744e-03,5.000000000000000000e-01,5.058883569502954369e-01
3.906250000000000000e-01,1.562500000000000000e-02,-9.691147697310562373e-03,3.994643148579247083e-04,1.057217071851574049e-02,5.000000000000000000e-01,5.490235349895906669e-01
4.218750000000000000e-01,1.562500000000000000e-02,-1.040337829742719183e-02,3.127662852587053495e-04,1.137255081177318376e-02,5.000000000000000000e-01,5.835185506451088244e-01
4.531250000000000000e-01,1.562500000000000000e-02,-1.092701815725387847e-02,2.108735745679809061e-04,1.228044408591076782e-02,5.000000000000000000e-01,6.079384813326544901e-01
4.843750000000000000e-01,1.562500000000000000e-02,-1.123354733696170504e-02,9.565560513984536976e-05,1.327221959086388910e-02,5.000000000000000000e-01,6.210853874167561184e-01
5.156250000000000000e-01,1.562500000000000000e-02,-1.129928970248892869e-02,-2.991323961262218326e-05,1.431743921725263900e-02,5.000000000000000000e-01,6.220705649346741639e-01
5.468750000000000000e-01,1.562500000000000000e-02,-1.110758915574387024e-02,-1.617873071324358995e-04,1.537948645023054332e-02,5.000000000000000000e-01,6.104159711594400184e-01
5.781250000000000000e-01,1.562500000000000000e-02,-1.065159222325434696e-02,-2.942096253570864557e-04,1.641531717885882230e-02,5.000000000000000000e-01,5.861464591001450675e-01
6.093750000000000000e-01,1.562500000000000000e-02,-9.937421318776130594e-03,-4.199612791211306678e-04,1.737762458926178991e-02,5.000000000000000000e-01,5.498528777598981065e-01
6.406250000000000000e-01,1.562500000000000000e-02,-8.986581167307015894e-03,-5.308788723479825142e-04,1.821837668182546902e-02,5.000000000000000000e-01,5.027459720812055277e-01
