x,y,u,v,pressure,theta,vorticity
1.562500000000000000e-02,1.562500000000000000e-02,-2.029795152117390335e-03,2.029795152117359110e-03,1.826501044227368808e-02,9.461838498113344098e-01,1.123508019573579431e-01
4.687500000000000000e-02,1.562500000000000000e-02,-7.674266476059395797e-03,3.614676171824615994e-03,1.860969886381570390e-02,8.404713635510207004e-01,2.644106373189497594e-01
7.812500000000000000e-02,1.562500000000000000e-02,-1.490477148018327577e-02,3.615828832299263114e-03,2.228588313273495436e-02,7.400783551374714442e-01,4.781137621504371049e-01
1.093750000000000000e-01,1.562500000000000000e-02,-2.146243798906326966e-02,2.941837676580732509e-03,2.835331268272672095e-02,6.479322914488220286e-01,7.284122873712451929e-01
1.406250000000000000e-01,1.562500000000000000e-02,-2.652755297031009554e-02,2.123277304666091204e-03,3.569963797280806955e-02,5.659342106461043853e-01,9.698213202332066629e-01
1.718750000000000000e-01,1.562500000000000000e-02,-3.006006794280768196e-02,1.409237667831494565e-03,4.344302481550936512e-02,4.948681592832885334e-01,1.179909551466946649e+00
2.031250000000000000e-01,1.562500000000000000e-02,-3.235594666115501616e-02,8.866410505158392030e-04,5.101096518488053289e-02,4.345918319007016084e-01,1.352773580754487392e+00
2.343750000000000000e-01,1.562500000000000000e-02,-3.380109847002200907e-02,5.585107583511606400e-04,5.810275439196201097e-02,3.843264075649882594e-01,1.491589030293452245e+00
2.656250000000000000e-01,1.562500000000000000e-02,-3.474909355568767122e-02,3.894843273144954401e-04,6.462039834527909254e-02,3.429322373111545752e-01,1.603115940833408137e+00
2.968750000000000000e-01,1.562500000000000000e-02,-3.546996802989751951e-02,3.313901468953491121e-04,7.059980352046869856e-02,3.091226858303887659e-01,1.694360420837974557e+00
3.281250000000000000e-01,1.562500000000000000e-02,-3.613831274220663525e-02,3.369545654137726456e-04,7.615339968412822291e-02,2.816091158594349331e-01,1.770869629501896858e+00
3.593750000000000000e-01,1.562500000000000000e-02,-3.684150730411331343e-02,3.662399964929026540e-04,8.142702928957597230e-02,2.591881078337526789e-01,1.836092677294099307e+00
3.906250000000000000e-01,1.562500000000000000e-02,-3.759644189388253177e-02,3.886945932763130346e-04,8.657021078239027223e-02,2.407864761199088321e-01,1.891366771366706834e+00
4.218750000000000000e-01,1.562500000000000000e-02,-3.836794279378548389e-02,3.828063066266417956e-04,9.171722063008350134e-02,2.254780025655001019e-01,1.936225792736872231e+00
4.531250000000000000e-01,1.562500000000000000e-02,-3.908546725734694804e-02,3.347181569348272375e-04,9.697601391650365055e-02,2.124824291973388124e-01,1.968839359130436950e+00
4.843750000000000000e-01,1.562500000000000000e-02,-3.965676565460389547e-02,2.365802403221218641e-04,1.024223471173254241e-01,2.011540598162011861e-01,1.986470667043864324e+00
5.156250000000000000e-01,1.562500000000000000e-02,-3.997819011657473276e-02,8.484422164871025288e-05,1.080971319711036965e-01,1.909648890015320233e-01,1.985896961202311850e+00
5.468750000000000000e-01,1.562500000000000000e-02,-3.994114640884938866e-02,-1.218879293740514791e-04,1.140058591021593098e-01,1.814855263809209418e-01,1.963896844375345285e+00
5.781250000000000000e-01,1.562500000000000000e-02,-3.944010585796596524e-02,-3.791526215093704490e-04,1.201158321296831866e-01,1.723660248494084390e-01,1.917753446859794986e+00
6.093750000000000000e-01,1.562500000000000000e-02,-3.838487065327368664e-02,-6.760825831829136859e-04,1.263478665980421467e-01,1.633211754282572203e-01,1.845551441454087893e+00
6.406250000000000000e-01,1.562500000000000000e-02,-3.671163648614622632e-02,-9.971515839445447855e-04,1.325845111014636868e-01,1.541179176446930421e-01,1.746424439060838552e+00
6.718750000000000000e-01,1.562500000000000000e-02,-3.439166067749870048e-02,-1.322824224702980620e-03,1.386778631461751121e-01,1.445647040420947049e-01,1.620830688022841359e+00
7.031250000000000000e-01,1.562500000000000000e-02,-3.143839948408040652e-02,-1.630436968715317245e-03,1.444604878469518960e-01,1.345031877662941355e-01,1.470733000472944640e+00
7.343750000000000000e-01,1.562500000000000000e-02,-2.791233735020431928e-02,-1.895625165160767615e-03,1.497593856147804992e-01,1.238024118121489464e-01,1.299687763260873874e+00
7.656250000000000000e-01,1.562500000000000000e-02,-2.392247019842867056e-02,-2.094241986614879796e-03,1.544120688115625528e-01,1.123555991428663026e-01,1.112843530077491039e+00
7.968750000000000000e-01,1.562500000000000000e-02,-1.962379291109242474e-02,-2.204435300721369062e-03,1.582830036237247162e-01,1.000796317683754072e-01,9.168525802654956536e-01
8.281250000000000000e-01,1.562500000000000000e-02,-1.521111302442081092e-02,-2.208244585950244320e-03,1.612782477199081466e-01,8.691735163650654572e-02,7.197040976645164845e-01
8.593750000000000000e-01,1.562500000000000000e-02,-1.091107305880568458e-02,-2.091795379664882458e-03,1.633565165646153894e-01,7.284289272478788879e-02,5.304832865248688689e-01
8.906250000000000000e-01,1.562500000000000000e-02,-6.976085448903306813e-03,-1.843192230237494875e-03,1.645368018996411774e-01,5.787031523351775231e-02,3.590143859121849301e-01
9.218750000000000000e-01,1.562500000000000000e-02,-3.684172738172145252e-03,-1.448720480493666902e-03,1.649070076212676428e-01,4.206574746596743186e-02,2.151820187045565547e-01
9.531250000000000000e-01,1.562500000000000000e-02,-1.339792472771025476e-03,-8.956597849074522232e-04,1.646459689796809789e-01,2.556273208485944012e-02,1.073353271281623222e-01
9.843750000000000000e-01,1.562500000000000000e-02,-2.220663439317866264e-04,-2.220663439317864096e-04,1.640812808000470246e-01,8.578484750251361840e-03,4.242006607500346804e-02
1.562500000000000000e-02,4.687500000000000000e-02,-3.955876693577569173e-03,8.015466997812288261e-03,3.183502001810548793e-02,9.452161920267249107e-01,2.482101780211121433e-01
4.687500000000000000e-02,4.687500000000000000e-02,-1.514408205218562356e-02,1.446168100867971720e-02,3.045507493075869099e-02,8.376664083569828056e-01,2.821025594612504017e-01
7.812500000000000000e-02,4.687500000000000000e-02,-3.018224579500637661e-02,1.503749274238879233e-02,3.188546246446376242e-02,7.356178416632275230e-01,3.353023485586340557e-01
