x,y,u,v,pressure,theta,vorticity
1.562500000000000000e-02,1.562500000000000000e-02,-2.405400074043066629e-03,2.405400074043185458e-03,-3.080738952035915260e-02,9.459381994598978771e-01,1.189315313653057371e-01
4.687500000000000000e-02,1.562500000000000000e-02,-8.855675352810078380e-03,4.044875204723945121e-03,-3.022520900414894796e-02,8.401605753675087662e-01,2.791665096007253100e-01
7.812500000000000000e-02,1.562500000000000000e-02,-1.676428316608589292e-02,3.863732608551867682e-03,-2.635949387351435927e-02,7.406446629176949292e-01,5.010268462232339015e-01
1.093750000000000000e-01,1.562500000000000000e-02,-2.362343411141826222e-02,2.995418336780500315e-03,-2.028437248838476509e-02,6.505334202287818002e-01,7.580802416484047068e-01
1.406250000000000000e-01,1.562500000000000000e-02,-2.865872334217520884e-02,2.039870893976445439e-03,-1.312077357199266728e-02,5.715939602117791063e-01,9.993947355702851310e-01
1.718750000000000000e-01,1.562500000000000000e-02,-3.194610212151471201e-02,1.247507885363057303e-03,-5.695625904703124215e-03,5.042520598020813205e-01,1.201950561250561877e+00
2.031250000000000000e-01,1.562500000000000000e-02,-3.388060344411981256e-02,6.869934372420462808e-04,1.486688910873501523e-03,4.479385143470184794e-01,1.361341617904901158e+00
2.343750000000000000e-01,1.562500000000000000e-02,-3.491157884887557267e-02,3.439819675137142582e-04,8.178552255315559016e-03,4.014916296444865917e-01,1.482715402657079018e+00
2.656250000000000000e-01,1.562500000000000000e-02,-3.542827394460842244e-02,1.727131282191332118e-04,1.430987252921870484e-02,3.634883759812670423e-01,1.574673675034378606e+00
2.968750000000000000e-01,1.562500000000000000e-02,-3.572239725943403277e-02,1.214101866064815874e-04,1.992062090160341692e-02,3.324699650569912235e-01,1.645856208584780545e+00
3.281250000000000000e-01,1.562500000000000000e-02,-3.598749019839589391e-02,1.436827523553743007e-04,2.511055450223995816e-02,3.070735557084871004e-01,1.703335032295162366e+00
3.593750000000000000e-01,1.562500000000000000e-02,-3.633363562321005602e-02,2.024626724587914916e-04,3.000493430893927393e-02,2.860958833151054925e-01,1.752070984774683371e+00
3.906250000000000000e-01,1.562500000000000000e-02,-3.680619788588418428e-02,2.700995902153406213e-04,3.473298359866835994e-02,2.685134279584680539e-01,1.794924720351995351e+00
4.218750000000000000e-01,1.562500000000000000e-02,-3.740303868518368713e-02,3.267412090841546337e-04,3.941545957723079086e-02,2.534776369255448691e-01,1.832912717677896319e+00
4.531250000000000000e-01,1.562500000000000000e-02,-3.808801707680870008e-02,3.582371825408609727e-04,4.415807175482037994e-02,2.402974818658673573e-01,1.865536264978456815e+00
4.843750000000000000e-01,1.562500000000000000e-02,-3.880047473864087215e-02,3.542204792913225932e-04,4.904815703905351931e-02,2.284168195122710521e-01,1.891099786201792643e+00
5.156250000000000000e-01,1.562500000000000000e-02,-3.946131889991544295e-02,3.066236819832559549e-04,5.415276213784231407e-02,2.173907662165136256e-01,1.906988271658344170e+00
5.468750000000000000e-01,1.562500000000000000e-02,-3.997657378202207346e-02,2.086312001233699446e-04,5.951692310342729386e-02,2.068632584182741596e-01,1.909903349640259540e+00
5.781250000000000000e-01,1.562500000000000000e-02,-4.023917246144960436e-02,5.396747930416019752e-05,6.516134981721456720e-02,1.965467719104331823e-01,1.896072421972587296e+00
6.093750000000000000e-01,1.562500000000000000e-02,-4.012985273343819270e-02,-1.632872073155784655e-04,7.108000740268691220e-02,1.862045079583032614e-01,1.861742365758661588e+00
