x,y,u,v,pressure,theta,vorticity
2.083333333333333218e-02,2.083333333333333218e-02,7.957558200612680106e-05,-7.957558200611658246e-05,7.783612310406740759e-03,5.000000000000000000e-01,1.272066668257144408e-02
6.250000000000000000e-02,2.083333333333333218e-02,-2.449381470668432871e-05,1.836449787189379308e-04,7.452092303640770084e-03,5.000000000000000000e-01,3.472807186115054595e-02
1.041666666666666574e-01,2.083333333333333218e-02,-6.960176509526070851e-04,4.878788575269848255e-04,6.975000729759148373e-03,5.000000000000000000e-01,7.213125577689605272e-02
1.458333333333333148e-01,2.083333333333333218e-02,-1.904234011066123586e-03,7.203375025865315674e-04,6.548582972563891241e-03,5.000000000000000000e-01,1.215173483076007893e-01
1.875000000000000000e-01,2.083333333333333218e-02,-3.488012162369093835e-03,8.634406487164387892e-04,6.285598936380303037e-03,5.000000000000000000e-01,1.807521269140377473e-01
2.291666666666666574e-01,2.083333333333333218e-02,-5.279338464993010849e-03,9.278856539074786585e-04,6.240520640844586867e-03,5.000000000000000000e-01,2.459359860355230243e-01
2.708333333333333148e-01,2.083333333333333218e-02,-7.135291650058417021e-03,9.280675311579274049e-04,6.434537144230628031e-03,5.000000000000000000e-01,3.127152692908076181e-01
3.125000000000000000e-01,2.083333333333333218e-02,-8.937729300956206296e-03,8.743701197398615456e-04,6.871421058546529556e-03,5.000000000000000000e-01,3.768809619849383674e-01
3.541666666666666297e-01,2.083333333333333218e-02,-1.058442467231986150e-02,7.723252516237934457e-04,7.544685064084586355e-03,5.000000000000000000e-01,4.345682246128141357e-01
3.958333333333333148e-01,2.083333333333333218e-02,-1.198121970945295080e-02,6.244697855092956303e-04,8.438630457666242493e-03,5.000000000000000000e-01,4.823071130140436091e-01
4.375000000000000000e-01,2.083333333333333218e-02,-1.303871642033190351e-02,4.330269253696568074e-04,9.526043994726876921e-03,5.000000000000000000e-01,5.170680940844328832e-01
4.791666666666666297e-01,2.083333333333333218e-02,-1.367425048071118851e-02,2.025071350096292267e-04,1.076494019077267605e-02,5.000000000000000000e-01,5.363630052587066155e-01
