x,y,u,v,pressure,theta,vorticity
3.125000000000000000e-02,3.125000000000000000e-02,-3.041357512830637072e-03,3.041357512830687379e-03,-8.878395185359125308e-02,9.519171849990333278e-01,8.131140428078065252e-02
9.375000000000000000e-02,3.125000000000000000e-02,-1.151323627713108158e-02,5.430521251469807437e-03,-8.794517601969993603e-02,8.569785044412020492e-01,1.840984406749728020e-01
1.562500000000000000e-01,3.125000000000000000e-02,-2.249042093242401008e-02,5.546663403823122798e-03,-8.004555609798423566e-02,7.653788808505496144e-01,3.249844141350237692e-01
2.187500000000000000e-01,3.125000000000000000e-02,-3.273617079897324367e-02,4.699086462726107319e-03,-6.657684706094241234e-02,6.790279259944562718e-01,4.879736015549773209e-01
2.812500000000000000e-01,3.125000000000000000e-02,-4.099935885522150436e-02,3.564101593522155109e-03,-4.931292452274677746e-02,5.991725798054928775e-01,6.393224473626780702e-01
3.437500000000000000e-01,3.125000000000000000e-02,-4.696873901715609145e-02,2.405278568412435019e-03,-2.965778963214572850e-02,5.262936055232487753e-01,7.594946261162681678e-01
4.062500000000000000e-01,3.125000000000000000e-02,-5.065999521285460827e-02,1.285977627286080931e-03,-8.612174198114525003e-03,4.602136220950226453e-01,8.388748666824159539e-01
4.687500000000000000e-01,3.125000000000000000e-02,-5.213844373186072439e-02,1.924708917200295278e-04,1.308479011693923499e-02,4.002847789891817443e-01,8.734317752890720099e-01
5.312500000000000000e-01,3.125000000000000000e-02,-5.142109176948068266e-02,-9.098228541000755133e-04,3.482265886208456285e-02,3.455730109168222985e-01,8.622795444502769913e-01
5.937500000000000000e-01,3.125000000000000000e-02,-4.846700929379863659e-02,-2.044259621581971317e-03,5.597807031499492381e-02,2.949981223925082774e-01,8.072518311691291304e-01
6.562500000000000000e-01,3.125000000000000000e-02,-4.325065866960964289e-02,-3.172091002607019782e-03,7.571271981158446407e-02,2.474506036683178367e-01,7.128317888038213646e-01
7.187500000000000000e-01,3.125000000000000000e-02,-3.588975279520552342e-02,-4.188814871797086684e-03,9.300834048887336725e-02,2.018739409885345060e-01,5.865546039047286886e-01
7.812500000000000000e-01,3.125000000000000000e-02,-2.679424554320565532e-02,-4.906692380202786613e-03,1.067397376359169175e-01,1.573148864235991151e-01,4.404462260656552552e-01
8.437500000000000000e-01,3.125000000000000000e-02,-1.685652122646556436e-02,-5.031031936537299146e-03,1.158558772757222605e-01,1.129657094284149815e-01,2.922912214753135562e-01
9.062500000000000000e-01,3.125000000000000000e-02,-7.684774227391357598e-03,-4.140715062536905015e-03,1.197278301211190804e-01,6.823073109171917672e-02,1.654424555712081246e-01
9.687500000000000000e-01,3.125000000000000000e-02,-1.772029582427226942e-03,-1.772029582427226508e-03,1.187928522659336267e-01,2.285687552139534923e-02,7.423322109916329070e-02
3.125000000000000000e-02,9.375000000000000000e-02,-5.734156541740307797e-03,1.181687156740168256e-02,-6.141675821774061211e-02,9.516519450727751739e-01,1.747694746542158839e-01
9.375000000000000000e-02,9.375000000000000000e-02,-2.176673587382066399e-02,2.115946529327966327e-02,-6.355912411413172647e-02,8.562241241618266940e-01,1.836140663343531765e-01
1.562500000000000000e-01,9.375000000000000000e-02,-4.316766421023484485e-02,2.219583235372037805e-02,-5.976056459887151007e-02,7.641620478503349245e-01,1.963879789946965937e-01
2.187500000000000000e-01,9.375000000000000000e-02,-6.422580180130980920e-02,1.935380497045304654e-02,-5.139637332401601061e-02,6.775106910867629839e-01,2.734114681013130044e-01
