study,parameter,value,metric,result
channel_mesh,n,10,flow_relative_error,0.020000000000000462
channel_mesh,n,20,flow_relative_error,0.004999999999999671
channel_mesh,n,40,flow_relative_error,0.001249999999998641
channel_mesh,n,80,flow_relative_error,0.00031250000000015987
channel_viscosity,mu,0.001,flow_per_depth_m2_s,8.34374999999999e-05
channel_viscosity,mu,0.002,flow_per_depth_m2_s,4.171874999999995e-05
channel_viscosity,mu,0.005,flow_per_depth_m2_s,1.6687499999999982e-05
duct_geometry,shape,rectangle,flow_m3_s,3.520309528368185e-07
duct_geometry,shape,ellipse,flow_m3_s,2.4204165475447637e-07
duct_geometry,shape,insert,flow_m3_s,8.926904995928158e-08
porous_material,contrast,1.0,inlet_flow_per_depth_m2_s,5.000000000001977e-06
porous_material,contrast,0.1,inlet_flow_per_depth_m2_s,3.78823843016763e-06
porous_material,contrast,0.01,inlet_flow_per_depth_m2_s,3.528009134141824e-06
wall_conductivity,k_solid,15.0,outlet_bulk_temperature_K,317.3069715062224
wall_conductivity,k_solid,205.0,outlet_bulk_temperature_K,317.71926008170266
wall_conductivity,k_solid,400.0,outlet_bulk_temperature_K,317.73533590034833
tube_stiffness,young_modulus,2000000.0,flow_gain_percent,5.126571029220428
tube_stiffness,young_modulus,10000000.0,flow_gain_percent,1.0050125406039223
tube_stiffness,young_modulus,1000000000.0,flow_gain_percent,0.010000500015272529
duct_mesh,resolution,16,flow_m3_s,9.385194071655461e-08
duct_mesh,resolution,32,flow_m3_s,9.094501211490509e-08
duct_mesh,resolution,64,flow_m3_s,8.708601028172189e-08
porous_mesh,resolution,20,inlet_flow_per_depth_m2_s,3.4554028095394866e-06
porous_mesh,resolution,40,inlet_flow_per_depth_m2_s,3.4783145392957578e-06
porous_mesh,resolution,80,inlet_flow_per_depth_m2_s,3.556794330018312e-06
thermal_mesh,resolution,1,outlet_bulk_temperature_K,317.13940471702654
thermal_mesh,resolution,2,outlet_bulk_temperature_K,317.2409954086057
thermal_mesh,resolution,4,outlet_bulk_temperature_K,317.2991577906657
compliant_quadrature,n,20,flow_m3_s,6.605308372125637e-06
compliant_quadrature,n,40,flow_m3_s,6.605299866748871e-06
compliant_quadrature,n,80,flow_m3_s,6.605297864903132e-06
compliant_quadrature,n,160,flow_m3_s,6.605297379066204e-06
