y_m,velocity_m_s,exact_m_s
6.250000000000000130e-05,3.124999999999995728e-04,3.105468750000000048e-04
1.875000000000000039e-04,9.218749999999987588e-04,9.199218749999999497e-04
3.125000000000000065e-04,1.515624999999997877e-03,1.513671874999999827e-03
4.375000000000000091e-04,2.093749999999997089e-03,2.091796874999999906e-03
5.625000000000000659e-04,2.656249999999996288e-03,2.654296875000000406e-03
6.874999999999999601e-04,3.203124999999995472e-03,3.201171874999999591e-03
8.125000000000000711e-04,3.734374999999994209e-03,3.732421875000000062e-03
9.374999999999999653e-04,4.249999999999993366e-03,4.248046875000000520e-03
1.062500000000000076e-03,4.749999999999992943e-03,4.748046875000000965e-03
1.187499999999999971e-03,5.234374999999991639e-03,5.232421875000000527e-03
1.312500000000000082e-03,5.703124999999990320e-03,5.701171875000000944e-03
1.437499999999999976e-03,6.156249999999988988e-03,6.154296875000000479e-03
1.562500000000000087e-03,6.593749999999987642e-03,6.591796875000000867e-03
1.687499999999999981e-03,7.015624999999988017e-03,7.013671874999999507e-03
1.812500000000000092e-03,7.421874999999988377e-03,7.419921875000000736e-03
1.937499999999999986e-03,7.812499999999988724e-03,7.810546874999999348e-03
2.062500000000000097e-03,8.187499999999989925e-03,8.185546874999999681e-03
2.187500000000000208e-03,8.546874999999990244e-03,8.544921875000000000e-03
2.312499999999999886e-03,8.890624999999990549e-03,8.888671874999998571e-03
2.437499999999999997e-03,9.218749999999992575e-03,9.216796875000000597e-03
2.562500000000000108e-03,9.531249999999994588e-03,9.529296874999999140e-03
2.687500000000000219e-03,9.828124999999996586e-03,9.826171874999999403e-03
2.812499999999999896e-03,1.010937499999999857e-02,1.010742187499999965e-02
2.937500000000000007e-03,1.037499999999999881e-02,1.037304687499999989e-02
3.062500000000000118e-03,1.062499999999999903e-02,1.062304687500000011e-02
3.187500000000000229e-03,1.085937500000000097e-02,1.085742187500000032e-02
3.312499999999999906e-03,1.107812500000000290e-02,1.107617187500000051e-02
3.437500000000000017e-03,1.128125000000000308e-02,1.127929687500000069e-02
3.562500000000000128e-03,1.146875000000000325e-02,1.146679687500000086e-02
3.687500000000000239e-03,1.164062500000000513e-02,1.163867187500000101e-02
3.812499999999999917e-03,1.179687500000000701e-02,1.179492187499999942e-02
3.937500000000000028e-03,1.193750000000000887e-02,1.193554687499999954e-02
4.062500000000000139e-03,1.206250000000000898e-02,1.206054687499999965e-02
4.187500000000000250e-03,1.217187500000000734e-02,1.216992187499999975e-02
4.312500000000000361e-03,1.226562500000000742e-02,1.226367187500000157e-02
4.437500000000000472e-03,1.234375000000000749e-02,1.234179687499999990e-02
4.562499999999999716e-03,1.240625000000000755e-02,1.240429687499999996e-02
4.687499999999999827e-03,1.245312500000000759e-02,1.245117187500000000e-02
4.812499999999999938e-03,1.248437500000000935e-02,1.248242187500000003e-02
4.937500000000000049e-03,1.250000000000001284e-02,1.249804687500000004e-02
5.062500000000000160e-03,1.250000000000001457e-02,1.249804687500000004e-02
5.187500000000000271e-03,1.248437500000001629e-02,1.248242187500000003e-02
5.312500000000000382e-03,1.245312500000001800e-02,1.245117187500000000e-02
5.437500000000000493e-03,1.240625000000001796e-02,1.240429687499999996e-02
5.562499999999999736e-03,1.234375000000001617e-02,1.234179687499999990e-02
5.687499999999999847e-03,1.226562500000001610e-02,1.226367187500000157e-02
5.812499999999999958e-03,1.217187500000001428e-02,1.216992187499999975e-02
5.937500000000000069e-03,1.206250000000001418e-02,1.206054687499999965e-02
6.062500000000000180e-03,1.193750000000001581e-02,1.193554687499999954e-02
6.187500000000000291e-03,1.179687500000001395e-02,1.179492187499999942e-02
6.312500000000000402e-03,1.164062500000001207e-02,1.163867187499999928e-02
6.437500000000000513e-03,1.146875000000001192e-02,1.146679687500000086e-02
6.562499999999999757e-03,1.128125000000001175e-02,1.127929687500000069e-02
6.687499999999999868e-03,1.107812500000000984e-02,1.107617187500000051e-02
6.812499999999999979e-03,1.085937500000000618e-02,1.085742187500000032e-02
6.937500000000000090e-03,1.062500000000000597e-02,1.062304687500000011e-02
7.062500000000000201e-03,1.037500000000000401e-02,1.037304687499999989e-02
7.187500000000000312e-03,1.010937500000000204e-02,1.010742187499999965e-02
7.312500000000000423e-03,9.828125000000000056e-03,9.826171874999999403e-03
7.437500000000000534e-03,9.531249999999999792e-03,9.529296874999999140e-03
7.562499999999999778e-03,9.218749999999999514e-03,9.216796875000002331e-03
7.687499999999999889e-03,8.890624999999997488e-03,8.888671875000000305e-03
7.812500000000000000e-03,8.546874999999997183e-03,8.544921875000000000e-03
7.937500000000000111e-03,8.187499999999995129e-03,8.185546874999999681e-03
8.062500000000000222e-03,7.812499999999994796e-03,7.810546874999999348e-03
8.187500000000000333e-03,7.421874999999994449e-03,7.419921874999999868e-03
8.312500000000000444e-03,7.015624999999994088e-03,7.013671874999998640e-03
8.437500000000000555e-03,6.593749999999994581e-03,6.591796874999999133e-03
8.562500000000000666e-03,6.156249999999995927e-03,6.154296874999998744e-03
8.687500000000000777e-03,5.703124999999997259e-03,5.701171874999997474e-03
8.812500000000000888e-03,5.234374999999999445e-03,5.232421874999997058e-03
8.937500000000000999e-03,4.749999999999999882e-03,4.748046874999996628e-03
9.062499999999999375e-03,4.250000000000000305e-03,4.248046875000003123e-03
9.187499999999999487e-03,3.734375000000000281e-03,3.732421875000003098e-03
9.312499999999999598e-03,3.203125000000000243e-03,3.201171875000002626e-03
9.437499999999999709e-03,2.656250000000000191e-03,2.654296875000002574e-03
9.562499999999999820e-03,2.093750000000000559e-03,2.091796875000002075e-03
9.687499999999999931e-03,1.515625000000000479e-03,1.513671875000001344e-03
9.812500000000000042e-03,9.218750000000003851e-04,9.199218750000008171e-04
9.937500000000000153e-03,3.125000000000001691e-04,3.105468750000002758e-04
