y_m,velocity_m_s,exact_m_s
1.250000000000000026e-04,3.124999999999997355e-04,3.085937500000000030e-04
3.750000000000000078e-04,9.062499999999992870e-04,9.023437500000000425e-04
6.250000000000000130e-04,1.468749999999998919e-03,1.464843750000000000e-03
8.750000000000000182e-04,1.999999999999998307e-03,1.996093749999999604e-03
1.125000000000000132e-03,2.499999999999997450e-03,2.496093750000000482e-03
1.374999999999999920e-03,2.968749999999996565e-03,2.964843750000000031e-03
1.625000000000000142e-03,3.406249999999995219e-03,3.402343750000000420e-03
1.874999999999999931e-03,3.812499999999994279e-03,3.808593749999999913e-03
2.125000000000000153e-03,4.187499999999993311e-03,4.183593750000000680e-03
2.374999999999999941e-03,4.531249999999991881e-03,4.527343749999999251e-03
2.625000000000000163e-03,4.843749999999990424e-03,4.839843750000000396e-03
2.874999999999999951e-03,5.124999999999988939e-03,5.121093750000000645e-03
3.125000000000000173e-03,5.374999999999987427e-03,5.371093750000000000e-03
3.374999999999999962e-03,5.593749999999986754e-03,5.589843750000001062e-03
3.625000000000000184e-03,5.781249999999986053e-03,5.777343750000001228e-03
3.874999999999999972e-03,5.937499999999986192e-03,5.933593749999999632e-03
4.125000000000000194e-03,6.062499999999986303e-03,6.058593750000000611e-03
4.375000000000000416e-03,6.156249999999986386e-03,6.152343749999999827e-03
4.624999999999999771e-03,6.218749999999987309e-03,6.214843749999999882e-03
4.874999999999999993e-03,6.249999999999989071e-03,6.246093750000000777e-03
5.125000000000000215e-03,6.249999999999990806e-03,6.246093750000000777e-03
5.375000000000000437e-03,6.218749999999992513e-03,6.214843749999999882e-03
5.624999999999999792e-03,6.156249999999992457e-03,6.152343749999999827e-03
5.875000000000000014e-03,6.062499999999993242e-03,6.058593750000000611e-03
6.125000000000000236e-03,5.937499999999993998e-03,5.933593749999999632e-03
6.375000000000000458e-03,5.781249999999994726e-03,5.777343750000000361e-03
6.624999999999999813e-03,5.593749999999995427e-03,5.589843750000001062e-03
6.875000000000000035e-03,5.374999999999996100e-03,5.371093750000000000e-03
7.125000000000000257e-03,5.124999999999995878e-03,5.121093750000000645e-03
7.375000000000000479e-03,4.843749999999997363e-03,4.839843749999999528e-03
7.624999999999999833e-03,4.531249999999998820e-03,4.527343750000000118e-03
7.875000000000000056e-03,4.187499999999999382e-03,4.183593750000000680e-03
8.125000000000000278e-03,3.812499999999999483e-03,3.808593749999999913e-03
8.375000000000000500e-03,3.406249999999999122e-03,3.402343749999999552e-03
8.625000000000000722e-03,2.968749999999999167e-03,2.964843749999999164e-03
8.875000000000000944e-03,2.499999999999999185e-03,2.496093749999998748e-03
9.124999999999999431e-03,1.999999999999999174e-03,1.996093750000001339e-03
9.374999999999999653e-03,1.468749999999999353e-03,1.464843750000001301e-03
9.624999999999999875e-03,9.062499999999996123e-04,9.023437500000006930e-04
9.875000000000000097e-03,3.124999999999998981e-04,3.085937500000002741e-04
