x_m,pressure_Pa,radius_m,velocity_m_s,flow_m3_s
0.000000000000000000e+00,5.000000000000000000e+03,2.049999999999999739e-03,5.003057599381681708e-01,6.605308372125637408e-06
2.631578947368420907e-02,4.748725475781503519e+03,2.047487254757815282e-03,5.015344975704179031e-01,6.605308372125637408e-06
5.263157894736841813e-02,4.496216980631766091e+03,2.044962169806317873e-03,5.027738350080849239e-01,6.605308372125637408e-06
7.894736842105262720e-02,4.242459947505810305e+03,2.042424599475058285e-03,5.040239340605482399e-01,6.605308372125637408e-06
1.052631578947368363e-01,3.987439645227466372e+03,2.039874396452274769e-03,5.052849595707104013e-01,6.605308372125637408e-06
1.315789473684210453e-01,3.731141176539348635e+03,2.037311411765393900e-03,5.065570794832409129e-01,6.605308372125637408e-06
1.578947368421052544e-01,3.473549476127810522e+03,2.034735494761278143e-03,5.078404649146462946e-01,6.605308372125637408e-06
1.842105263157894635e-01,3.214649308622540957e+03,2.032146493086225362e-03,5.091352902252228585e-01,6.605308372125637408e-06
2.105263157894736725e-01,2.954425266570448457e+03,2.029544252665704211e-03,5.104417330929554852e-01,6.605308372125637408e-06
2.368421052631578816e-01,2.692861768383470007e+03,2.026928617683834526e-03,5.117599745894177987e-01,6.605308372125637408e-06
2.631578947368420907e-01,2.429943056259944569e+03,2.024299430562599266e-03,5.130901992577414639e-01,6.605308372125637408e-06
2.894736842105263275e-01,2.165653194079178320e+03,2.021656531940791909e-03,5.144325951927167795e-01,6.605308372125637408e-06
3.157894736842105088e-01,1.899976065268831235e+03,2.018999760652688460e-03,5.157873541230955095e-01,6.605308372125637408e-06
3.421052631578946901e-01,1.632895370644735294e+03,2.016328953706447106e-03,5.171546714961636759e-01,6.605308372125637408e-06
3.684210526315789269e-01,1.364394626222769830e+03,2.013643946262227719e-03,5.185347465646577003e-01,6.605308372125637408e-06
3.947368421052631637e-01,1.094457161002391331e+03,2.010944571610024257e-03,5.199277824761020517e-01,6.605308372125637408e-06
4.210526315789473450e-01,8.230661147214256061e+02,2.008230661147213970e-03,5.213339863646438976e-01,6.605308372125637408e-06
4.473684210526315264e-01,5.502044355817081396e+02,2.005502044355817349e-03,5.227535694454625848e-01,6.605308372125637408e-06
4.736842105263157632e-01,2.758548779451798509e+02,2.002758548779451885e-03,5.241867471118509814e-01,6.605308372125637408e-06
5.000000000000000000e-01,0.000000000000000000e+00,2.000000000000000042e-03,5.256337390350378502e-01,6.605308372125637408e-06
