x_m,y_m,velocity_m_s,fluid_mask
1.041666666666666734e-04,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000065e-04,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.208333333333333261e-04,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.291666666666666999e-04,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
9.375000000000000737e-04,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.145833333333333339e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.354166666666666713e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000087e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.770833333333333461e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.979166666666666834e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.187500000000000208e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.395833333333333582e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.604166666666666956e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.812500000000000330e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.020833333333333703e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.229166666666667077e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.437500000000000017e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.645833333333333391e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.854166666666666765e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.062500000000000139e-03,1.041666666666666734e-04,1.338162258000785937e-04,1.000000000000000000e+00
4.270833333333333946e-03,1.041666666666666734e-04,2.165004398089419280e-04,1.000000000000000000e+00
4.479166666666666886e-03,1.041666666666666734e-04,2.483803597838905365e-04,1.000000000000000000e+00
4.687500000000000694e-03,1.041666666666666734e-04,2.626092075544853369e-04,1.000000000000000000e+00
4.895833333333333634e-03,1.041666666666666734e-04,2.684080996063327126e-04,1.000000000000000000e+00
5.104166666666666574e-03,1.041666666666666734e-04,2.684080996063326042e-04,1.000000000000000000e+00
5.312500000000000382e-03,1.041666666666666734e-04,2.626092075544851742e-04,1.000000000000000000e+00
5.520833333333333322e-03,1.041666666666666734e-04,2.483803597838902654e-04,1.000000000000000000e+00
5.729166666666667129e-03,1.041666666666666734e-04,2.165004398089416841e-04,1.000000000000000000e+00
5.937500000000000069e-03,1.041666666666666734e-04,1.338162258000784039e-04,1.000000000000000000e+00
6.145833333333333877e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.354166666666666817e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.562500000000000625e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.770833333333333565e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.979166666666667372e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.187500000000000312e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.395833333333334120e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.604166666666667060e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-03,1.041666666666666734e-04,0.000000000000000000e+00,0.000000000000000000e+00
