x_m,y_m,velocity_m_s,fluid_mask
1.041666666666666734e-04,1.041666666666666734e-04,3.364476218797394759e-05,1.000000000000000000e+00
3.125000000000000065e-04,1.041666666666666734e-04,7.923289767503294289e-05,1.000000000000000000e+00
5.208333333333333261e-04,1.041666666666666734e-04,1.149789625501122976e-04,1.000000000000000000e+00
7.291666666666666999e-04,1.041666666666666734e-04,1.449174521430712423e-04,1.000000000000000000e+00
9.375000000000000737e-04,1.041666666666666734e-04,1.708005386891855212e-04,1.000000000000000000e+00
1.145833333333333339e-03,1.041666666666666734e-04,1.935654432304111756e-04,1.000000000000000000e+00
1.354166666666666713e-03,1.041666666666666734e-04,2.137924550912710935e-04,1.000000000000000000e+00
1.562500000000000087e-03,1.041666666666666734e-04,2.318767917450170420e-04,1.000000000000000000e+00
1.770833333333333461e-03,1.041666666666666734e-04,2.481051183110060494e-04,1.000000000000000000e+00
1.979166666666666834e-03,1.041666666666666734e-04,2.626946264072637901e-04,1.000000000000000000e+00
2.187500000000000208e-03,1.041666666666666734e-04,2.758151315455482184e-04,1.000000000000000000e+00
2.395833333333333582e-03,1.041666666666666734e-04,2.876025373454301707e-04,1.000000000000000000e+00
2.604166666666666956e-03,1.041666666666666734e-04,2.981675120482604074e-04,1.000000000000000000e+00
2.812500000000000330e-03,1.041666666666666734e-04,3.076013268256346011e-04,1.000000000000000000e+00
3.020833333333333703e-03,1.041666666666666734e-04,3.159799207155102128e-04,1.000000000000000000e+00
3.229166666666667077e-03,1.041666666666666734e-04,3.233668090116498337e-04,1.000000000000000000e+00
3.437500000000000017e-03,1.041666666666666734e-04,3.298152097114200629e-04,1.000000000000000000e+00
3.645833333333333391e-03,1.041666666666666734e-04,3.353696244926226196e-04,1.000000000000000000e+00
3.854166666666666765e-03,1.041666666666666734e-04,3.400670283183074381e-04,1.000000000000000000e+00
4.062500000000000139e-03,1.041666666666666734e-04,3.439377707232695990e-04,1.000000000000000000e+00
4.270833333333333946e-03,1.041666666666666734e-04,3.470062591001019060e-04,1.000000000000000000e+00
4.479166666666666886e-03,1.041666666666666734e-04,3.492914726255006938e-04,1.000000000000000000e+00
4.687500000000000694e-03,1.041666666666666734e-04,3.508073406470174475e-04,1.000000000000000000e+00
4.895833333333333634e-03,1.041666666666666734e-04,3.515630088594103248e-04,1.000000000000000000e+00
5.104166666666666574e-03,1.041666666666666734e-04,3.515630088594103790e-04,1.000000000000000000e+00
5.312500000000000382e-03,1.041666666666666734e-04,3.508073406470174475e-04,1.000000000000000000e+00
5.520833333333333322e-03,1.041666666666666734e-04,3.492914726255007480e-04,1.000000000000000000e+00
5.729166666666667129e-03,1.041666666666666734e-04,3.470062591001019602e-04,1.000000000000000000e+00
5.937500000000000069e-03,1.041666666666666734e-04,3.439377707232697074e-04,1.000000000000000000e+00
6.145833333333333877e-03,1.041666666666666734e-04,3.400670283183074381e-04,1.000000000000000000e+00
6.354166666666666817e-03,1.041666666666666734e-04,3.353696244926224570e-04,1.000000000000000000e+00
6.562500000000000625e-03,1.041666666666666734e-04,3.298152097114200629e-04,1.000000000000000000e+00
6.770833333333333565e-03,1.041666666666666734e-04,3.233668090116499421e-04,1.000000000000000000e+00
6.979166666666667372e-03,1.041666666666666734e-04,3.159799207155102128e-04,1.000000000000000000e+00
7.187500000000000312e-03,1.041666666666666734e-04,3.076013268256345468e-04,1.000000000000000000e+00
7.395833333333334120e-03,1.041666666666666734e-04,2.981675120482602448e-04,1.000000000000000000e+00
7.604166666666667060e-03,1.041666666666666734e-04,2.876025373454298454e-04,1.000000000000000000e+00
7.812500000000000000e-03,1.041666666666666734e-04,2.758151315455477847e-04,1.000000000000000000e+00
8.020833333333334675e-03,1.041666666666666734e-04,2.626946264072633022e-04,1.000000000000000000e+00
8.229166666666667615e-03,1.041666666666666734e-04,2.481051183110056157e-04,1.000000000000000000e+00
8.437500000000000555e-03,1.041666666666666734e-04,2.318767917450165542e-04,1.000000000000000000e+00
8.645833333333333495e-03,1.041666666666666734e-04,2.137924550912707682e-04,1.000000000000000000e+00
8.854166666666666435e-03,1.041666666666666734e-04,1.935654432304110130e-04,1.000000000000000000e+00
9.062500000000001110e-03,1.041666666666666734e-04,1.708005386891854399e-04,1.000000000000000000e+00
9.270833333333334050e-03,1.041666666666666734e-04,1.449174521430711339e-04,1.000000000000000000e+00
9.479166666666666990e-03,1.041666666666666734e-04,1.149789625501122163e-04,1.000000000000000000e+00
9.687499999999999931e-03,1.041666666666666734e-04,7.923289767503290224e-05,1.000000000000000000e+00
9.895833333333334605e-03,1.041666666666666734e-04,3.364476218797392726e-05,1.000000000000000000e+00
1.041666666666666734e-04,3.125000000000000065e-04,7.923289767503294289e-05,1.000000000000000000e+00
3.125000000000000065e-04,3.125000000000000065e-04,2.041379858593007305e-04,1.000000000000000000e+00
5.208333333333333261e-04,3.125000000000000065e-04,3.073416851546796114e-04,1.000000000000000000e+00
7.291666666666666999e-04,3.125000000000000065e-04,3.954049816982805796e-04,1.000000000000000000e+00
9.375000000000000737e-04,3.125000000000000065e-04,4.721170202946678354e-04,1.000000000000000000e+00
1.145833333333333339e-03,3.125000000000000065e-04,5.398314445938218837e-04,1.000000000000000000e+00
1.354166666666666713e-03,3.125000000000000065e-04,6.001172627031494365e-04,1.000000000000000000e+00
1.562500000000000087e-03,3.125000000000000065e-04,6.540836075450304167e-04,1.000000000000000000e+00
1.770833333333333461e-03,3.125000000000000065e-04,7.025513956249717371e-04,1.000000000000000000e+00
1.979166666666666834e-03,3.125000000000000065e-04,7.461501044019868420e-04,1.000000000000000000e+00
