x_m,y_m,velocity_m_s,fluid_mask
7.812500000000000163e-05,7.812500000000000163e-05,1.732648760499182769e-05,1.000000000000000000e+00
2.343749999999999913e-04,7.812500000000000163e-05,3.977243156497548579e-05,1.000000000000000000e+00
3.906250000000000217e-04,7.812500000000000163e-05,5.668231648581149970e-05,1.000000000000000000e+00
5.468750000000000520e-04,7.812500000000000163e-05,7.032596871090934147e-05,1.000000000000000000e+00
7.031249999999999740e-04,7.812500000000000163e-05,8.168993618030975725e-05,1.000000000000000000e+00
8.593750000000000043e-04,7.812500000000000163e-05,9.130309610660724054e-05,1.000000000000000000e+00
1.015625000000000035e-03,7.812500000000000163e-05,9.949450102823470857e-05,1.000000000000000000e+00
1.171874999999999957e-03,7.812500000000000163e-05,1.064902581915339405e-04,1.000000000000000000e+00
1.328125000000000095e-03,7.812500000000000163e-05,1.124567765177421786e-04,1.000000000000000000e+00
1.484375000000000017e-03,7.812500000000000163e-05,1.175229475127695833e-04,1.000000000000000000e+00
1.640624999999999939e-03,7.812500000000000163e-05,1.217927654124776097e-04,1.000000000000000000e+00
1.796875000000000078e-03,7.812500000000000163e-05,1.253530786398976307e-04,1.000000000000000000e+00
1.953125000000000000e-03,7.812500000000000163e-05,1.282786309746514143e-04,1.000000000000000000e+00
2.109375000000000139e-03,7.812500000000000163e-05,1.306354835205617633e-04,1.000000000000000000e+00
2.265624999999999844e-03,7.812500000000000163e-05,1.324834102171172721e-04,1.000000000000000000e+00
2.421874999999999983e-03,7.812500000000000163e-05,1.338776071079202166e-04,1.000000000000000000e+00
2.578125000000000121e-03,7.812500000000000163e-05,1.348699190873384613e-04,1.000000000000000000e+00
2.734375000000000260e-03,7.812500000000000163e-05,1.355097102863322663e-04,1.000000000000000000e+00
2.890624999999999965e-03,7.812500000000000163e-05,1.358444585380398227e-04,1.000000000000000000e+00
3.046875000000000104e-03,7.812500000000000163e-05,1.359201268117161976e-04,1.000000000000000000e+00
3.203125000000000243e-03,7.812500000000000163e-05,1.357813478489959113e-04,1.000000000000000000e+00
3.359374999999999948e-03,7.812500000000000163e-05,1.354714484271153099e-04,1.000000000000000000e+00
3.515625000000000087e-03,7.812500000000000163e-05,1.350323343502676235e-04,1.000000000000000000e+00
3.671875000000000226e-03,7.812500000000000163e-05,1.345042549957816498e-04,1.000000000000000000e+00
3.828124999999999931e-03,7.812500000000000163e-05,1.339254660908804255e-04,1.000000000000000000e+00
3.984375000000000069e-03,7.812500000000000163e-05,1.333318107175253538e-04,1.000000000000000000e+00
4.140625000000000208e-03,7.812500000000000163e-05,1.327562408118772893e-04,1.000000000000000000e+00
4.296875000000000347e-03,7.812500000000000163e-05,1.322283041423622776e-04,1.000000000000000000e+00
4.453125000000000486e-03,7.812500000000000163e-05,1.317736243787414046e-04,1.000000000000000000e+00
4.609374999999999757e-03,7.812500000000000163e-05,1.314134037910545314e-04,1.000000000000000000e+00
4.765624999999999896e-03,7.812500000000000163e-05,1.311639786593195496e-04,1.000000000000000000e+00
4.921875000000000035e-03,7.812500000000000163e-05,1.310364559693153212e-04,1.000000000000000000e+00
5.078125000000000173e-03,7.812500000000000163e-05,1.310364559693152941e-04,1.000000000000000000e+00
5.234375000000000312e-03,7.812500000000000163e-05,1.311639786593196038e-04,1.000000000000000000e+00
5.390625000000000451e-03,7.812500000000000163e-05,1.314134037910545585e-04,1.000000000000000000e+00
5.546874999999999722e-03,7.812500000000000163e-05,1.317736243787413775e-04,1.000000000000000000e+00
5.703124999999999861e-03,7.812500000000000163e-05,1.322283041423622505e-04,1.000000000000000000e+00
5.859375000000000000e-03,7.812500000000000163e-05,1.327562408118771267e-04,1.000000000000000000e+00
6.015625000000000139e-03,7.812500000000000163e-05,1.333318107175252183e-04,1.000000000000000000e+00
6.171875000000000278e-03,7.812500000000000163e-05,1.339254660908802358e-04,1.000000000000000000e+00
6.328125000000000416e-03,7.812500000000000163e-05,1.345042549957815414e-04,1.000000000000000000e+00
6.484375000000000555e-03,7.812500000000000163e-05,1.350323343502675692e-04,1.000000000000000000e+00
6.640624999999999827e-03,7.812500000000000163e-05,1.354714484271151743e-04,1.000000000000000000e+00
6.796874999999999965e-03,7.812500000000000163e-05,1.357813478489957757e-04,1.000000000000000000e+00
6.953125000000000104e-03,7.812500000000000163e-05,1.359201268117160078e-04,1.000000000000000000e+00
7.109375000000000243e-03,7.812500000000000163e-05,1.358444585380396330e-04,1.000000000000000000e+00
7.265625000000000382e-03,7.812500000000000163e-05,1.355097102863321037e-04,1.000000000000000000e+00
7.421875000000000520e-03,7.812500000000000163e-05,1.348699190873382174e-04,1.000000000000000000e+00
7.578124999999999792e-03,7.812500000000000163e-05,1.338776071079199998e-04,1.000000000000000000e+00
7.734374999999999931e-03,7.812500000000000163e-05,1.324834102171169468e-04,1.000000000000000000e+00
7.890625000000000069e-03,7.812500000000000163e-05,1.306354835205613839e-04,1.000000000000000000e+00
8.046875000000000208e-03,7.812500000000000163e-05,1.282786309746511433e-04,1.000000000000000000e+00
8.203125000000000347e-03,7.812500000000000163e-05,1.253530786398973054e-04,1.000000000000000000e+00
8.359375000000000486e-03,7.812500000000000163e-05,1.217927654124772844e-04,1.000000000000000000e+00
8.515625000000000625e-03,7.812500000000000163e-05,1.175229475127692309e-04,1.000000000000000000e+00
8.671875000000000763e-03,7.812500000000000163e-05,1.124567765177418533e-04,1.000000000000000000e+00
8.828125000000000902e-03,7.812500000000000163e-05,1.064902581915336830e-04,1.000000000000000000e+00
8.984375000000001041e-03,7.812500000000000163e-05,9.949450102823449173e-05,1.000000000000000000e+00
9.140624999999999445e-03,7.812500000000000163e-05,9.130309610660714567e-05,1.000000000000000000e+00
9.296874999999999584e-03,7.812500000000000163e-05,8.168993618030966238e-05,1.000000000000000000e+00
9.453124999999999722e-03,7.812500000000000163e-05,7.032596871090923305e-05,1.000000000000000000e+00
9.609374999999999861e-03,7.812500000000000163e-05,5.668231648581143194e-05,1.000000000000000000e+00
9.765625000000000000e-03,7.812500000000000163e-05,3.977243156497543836e-05,1.000000000000000000e+00
9.921875000000000139e-03,7.812500000000000163e-05,1.732648760499181075e-05,1.000000000000000000e+00
7.812500000000000163e-05,2.343749999999999913e-04,3.977243156497548579e-05,1.000000000000000000e+00
2.343749999999999913e-04,2.343749999999999913e-04,1.004392912340741070e-04,1.000000000000000000e+00
3.906250000000000217e-04,2.343749999999999913e-04,1.488991196531727309e-04,1.000000000000000000e+00
5.468750000000000520e-04,2.343749999999999913e-04,1.888435283884254152e-04,1.000000000000000000e+00
7.031249999999999740e-04,2.343749999999999913e-04,2.224065535840323723e-04,1.000000000000000000e+00
8.593750000000000043e-04,2.343749999999999913e-04,2.509169808244919998e-04,1.000000000000000000e+00
1.015625000000000035e-03,2.343749999999999913e-04,2.752650883430323944e-04,1.000000000000000000e+00
1.171874999999999957e-03,2.343749999999999913e-04,2.960859509116927800e-04,1.000000000000000000e+00
1.328125000000000095e-03,2.343749999999999913e-04,3.138566143844074424e-04,1.000000000000000000e+00
1.484375000000000017e-03,2.343749999999999913e-04,3.289511331336281066e-04,1.000000000000000000e+00
1.640624999999999939e-03,2.343749999999999913e-04,3.416737384097208669e-04,1.000000000000000000e+00
1.796875000000000078e-03,2.343749999999999913e-04,3.522799343123591350e-04,1.000000000000000000e+00
1.953125000000000000e-03,2.343749999999999913e-04,3.609905302127977642e-04,1.000000000000000000e+00
2.109375000000000139e-03,2.343749999999999913e-04,3.680013139110402441e-04,1.000000000000000000e+00
2.265624999999999844e-03,2.343749999999999913e-04,3.734898979571043588e-04,1.000000000000000000e+00
2.421874999999999983e-03,2.343749999999999913e-04,3.776206437351455449e-04,1.000000000000000000e+00
2.578125000000000121e-03,2.343749999999999913e-04,3.805482155424397750e-04,1.000000000000000000e+00
2.734375000000000260e-03,2.343749999999999913e-04,3.824201113062831612e-04,1.000000000000000000e+00
2.890624999999999965e-03,2.343749999999999913e-04,3.833783930921507094e-04,1.000000000000000000e+00
3.046875000000000104e-03,2.343749999999999913e-04,3.835607651715451779e-04,1.000000000000000000e+00
3.203125000000000243e-03,2.343749999999999913e-04,3.831011015061481085e-04,1.000000000000000000e+00
3.359374999999999948e-03,2.343749999999999913e-04,3.821294974363129929e-04,1.000000000000000000e+00
3.515625000000000087e-03,2.343749999999999913e-04,3.807719058284413528e-04,1.000000000000000000e+00
3.671875000000000226e-03,2.343749999999999913e-04,3.791494120377602597e-04,1.000000000000000000e+00
3.828124999999999931e-03,2.343749999999999913e-04,3.773772022410949397e-04,1.000000000000000000e+00
3.984375000000000069e-03,2.343749999999999913e-04,3.755632841848691953e-04,1.000000000000000000e+00
4.140625000000000208e-03,2.343749999999999913e-04,3.738070266994987121e-04,1.000000000000000000e+00
4.296875000000000347e-03,2.343749999999999913e-04,3.721975930211928081e-04,1.000000000000000000e+00
4.453125000000000486e-03,2.343749999999999913e-04,3.708123514602902735e-04,1.000000000000000000e+00
4.609374999999999757e-03,2.343749999999999913e-04,3.697153534172117895e-04,1.000000000000000000e+00
4.765624999999999896e-03,2.343749999999999913e-04,3.689559710362281175e-04,1.000000000000000000e+00
4.921875000000000035e-03,2.343749999999999913e-04,3.685677827179417135e-04,1.000000000000000000e+00
5.078125000000000173e-03,2.343749999999999913e-04,3.685677827179416051e-04,1.000000000000000000e+00
5.234375000000000312e-03,2.343749999999999913e-04,3.689559710362281175e-04,1.000000000000000000e+00
5.390625000000000451e-03,2.343749999999999913e-04,3.697153534172117895e-04,1.000000000000000000e+00
5.546874999999999722e-03,2.343749999999999913e-04,3.708123514602902192e-04,1.000000000000000000e+00
5.703124999999999861e-03,2.343749999999999913e-04,3.721975930211926997e-04,1.000000000000000000e+00
5.859375000000000000e-03,2.343749999999999913e-04,3.738070266994982785e-04,1.000000000000000000e+00
6.015625000000000139e-03,2.343749999999999913e-04,3.755632841848688700e-04,1.000000000000000000e+00
6.171875000000000278e-03,2.343749999999999913e-04,3.773772022410945060e-04,1.000000000000000000e+00
6.328125000000000416e-03,2.343749999999999913e-04,3.791494120377599344e-04,1.000000000000000000e+00
6.484375000000000555e-03,2.343749999999999913e-04,3.807719058284410275e-04,1.000000000000000000e+00
6.640624999999999827e-03,2.343749999999999913e-04,3.821294974363125593e-04,1.000000000000000000e+00
6.796874999999999965e-03,2.343749999999999913e-04,3.831011015061478375e-04,1.000000000000000000e+00
6.953125000000000104e-03,2.343749999999999913e-04,3.835607651715446358e-04,1.000000000000000000e+00
7.109375000000000243e-03,2.343749999999999913e-04,3.833783930921501673e-04,1.000000000000000000e+00
7.265625000000000382e-03,2.343749999999999913e-04,3.824201113062826191e-04,1.000000000000000000e+00
7.421875000000000520e-03,2.343749999999999913e-04,3.805482155424391244e-04,1.000000000000000000e+00
7.578124999999999792e-03,2.343749999999999913e-04,3.776206437351448402e-04,1.000000000000000000e+00
7.734374999999999931e-03,2.343749999999999913e-04,3.734898979571034373e-04,1.000000000000000000e+00
7.890625000000000069e-03,2.343749999999999913e-04,3.680013139110393226e-04,1.000000000000000000e+00
8.046875000000000208e-03,2.343749999999999913e-04,3.609905302127969511e-04,1.000000000000000000e+00
8.203125000000000347e-03,2.343749999999999913e-04,3.522799343123581592e-04,1.000000000000000000e+00
8.359375000000000486e-03,2.343749999999999913e-04,3.416737384097198911e-04,1.000000000000000000e+00
8.515625000000000625e-03,2.343749999999999913e-04,3.289511331336270766e-04,1.000000000000000000e+00
8.671875000000000763e-03,2.343749999999999913e-04,3.138566143844065208e-04,1.000000000000000000e+00
8.828125000000000902e-03,2.343749999999999913e-04,2.960859509116920210e-04,1.000000000000000000e+00
8.984375000000001041e-03,2.343749999999999913e-04,2.752650883430316896e-04,1.000000000000000000e+00
9.140624999999999445e-03,2.343749999999999913e-04,2.509169808244914035e-04,1.000000000000000000e+00
9.296874999999999584e-03,2.343749999999999913e-04,2.224065535840319657e-04,1.000000000000000000e+00
9.453124999999999722e-03,2.343749999999999913e-04,1.888435283884250628e-04,1.000000000000000000e+00
9.609374999999999861e-03,2.343749999999999913e-04,1.488991196531724869e-04,1.000000000000000000e+00
9.765625000000000000e-03,2.343749999999999913e-04,1.004392912340739579e-04,1.000000000000000000e+00
9.921875000000000139e-03,2.343749999999999913e-04,3.977243156497543158e-05,1.000000000000000000e+00
7.812500000000000163e-05,3.906250000000000217e-04,5.668231648581151326e-05,1.000000000000000000e+00
2.343749999999999913e-04,3.906250000000000217e-04,1.488991196531727309e-04,1.000000000000000000e+00
3.906250000000000217e-04,3.906250000000000217e-04,2.252172800043798935e-04,1.000000000000000000e+00
5.468750000000000520e-04,3.906250000000000217e-04,2.893284091055871267e-04,1.000000000000000000e+00
7.031249999999999740e-04,3.906250000000000217e-04,3.437617064429023764e-04,1.000000000000000000e+00
8.593750000000000043e-04,3.906250000000000217e-04,3.902791227642959026e-04,1.000000000000000000e+00
1.015625000000000035e-03,3.906250000000000217e-04,4.301488581077099861e-04,1.000000000000000000e+00
1.171874999999999957e-03,3.906250000000000217e-04,4.643177802277975784e-04,1.000000000000000000e+00
1.328125000000000095e-03,3.906250000000000217e-04,4.935185344745666829e-04,1.000000000000000000e+00
1.484375000000000017e-03,3.906250000000000217e-04,5.183371697276145662e-04,1.000000000000000000e+00
1.640624999999999939e-03,3.906250000000000217e-04,5.392570582804187031e-04,1.000000000000000000e+00
1.796875000000000078e-03,3.906250000000000217e-04,5.566883274870200937e-04,1.000000000000000000e+00
1.953125000000000000e-03,3.906250000000000217e-04,5.709881791531404857e-04,1.000000000000000000e+00
2.109375000000000139e-03,3.906250000000000217e-04,5.824752814536967704e-04,1.000000000000000000e+00
2.265624999999999844e-03,3.906250000000000217e-04,5.914401614651146506e-04,1.000000000000000000e+00
2.421874999999999983e-03,3.906250000000000217e-04,5.981527918331177533e-04,1.000000000000000000e+00
2.578125000000000121e-03,3.906250000000000217e-04,6.028681255409917752e-04,1.000000000000000000e+00
2.734375000000000260e-03,3.906250000000000217e-04,6.058300638042099810e-04,1.000000000000000000e+00
2.890624999999999965e-03,3.906250000000000217e-04,6.072741748527348167e-04,1.000000000000000000e+00
3.046875000000000104e-03,3.906250000000000217e-04,6.074293767761655390e-04,1.000000000000000000e+00
3.203125000000000243e-03,3.906250000000000217e-04,6.065187330677390080e-04,1.000000000000000000e+00
3.359374999999999948e-03,3.906250000000000217e-04,6.047594714835469350e-04,1.000000000000000000e+00
3.515625000000000087e-03,3.906250000000000217e-04,6.023623169894246759e-04,1.000000000000000000e+00
3.671875000000000226e-03,3.906250000000000217e-04,5.995302225857231018e-04,1.000000000000000000e+00
3.828124999999999931e-03,3.906250000000000217e-04,5.964565841508700193e-04,1.000000000000000000e+00
3.984375000000000069e-03,3.906250000000000217e-04,5.933230345813579436e-04,1.000000000000000000e+00
4.140625000000000208e-03,3.906250000000000217e-04,5.902969262800551817e-04,1.000000000000000000e+00
4.296875000000000347e-03,3.906250000000000217e-04,5.875286272826201915e-04,1.000000000000000000e+00
4.453125000000000486e-03,3.906250000000000217e-04,5.851487725240149887e-04,1.000000000000000000e+00
4.609374999999999757e-03,3.906250000000000217e-04,5.832656248812742410e-04,1.000000000000000000e+00
4.765624999999999896e-03,3.906250000000000217e-04,5.819627068504396126e-04,1.000000000000000000e+00
4.921875000000000035e-03,3.906250000000000217e-04,5.812968586482816259e-04,1.000000000000000000e+00
5.078125000000000173e-03,3.906250000000000217e-04,5.812968586482816259e-04,1.000000000000000000e+00
5.234375000000000312e-03,3.906250000000000217e-04,5.819627068504396126e-04,1.000000000000000000e+00
5.390625000000000451e-03,3.906250000000000217e-04,5.832656248812742410e-04,1.000000000000000000e+00
5.546874999999999722e-03,3.906250000000000217e-04,5.851487725240148803e-04,1.000000000000000000e+00
5.703124999999999861e-03,3.906250000000000217e-04,5.875286272826199746e-04,1.000000000000000000e+00
5.859375000000000000e-03,3.906250000000000217e-04,5.902969262800547481e-04,1.000000000000000000e+00
6.015625000000000139e-03,3.906250000000000217e-04,5.933230345813574015e-04,1.000000000000000000e+00
6.171875000000000278e-03,3.906250000000000217e-04,5.964565841508693688e-04,1.000000000000000000e+00
6.328125000000000416e-03,3.906250000000000217e-04,5.995302225857224512e-04,1.000000000000000000e+00
6.484375000000000555e-03,3.906250000000000217e-04,6.023623169894240254e-04,1.000000000000000000e+00
6.640624999999999827e-03,3.906250000000000217e-04,6.047594714835463929e-04,1.000000000000000000e+00
6.796874999999999965e-03,3.906250000000000217e-04,6.065187330677383575e-04,1.000000000000000000e+00
6.953125000000000104e-03,3.906250000000000217e-04,6.074293767761647801e-04,1.000000000000000000e+00
7.109375000000000243e-03,3.906250000000000217e-04,6.072741748527339493e-04,1.000000000000000000e+00
7.265625000000000382e-03,3.906250000000000217e-04,6.058300638042091136e-04,1.000000000000000000e+00
7.421875000000000520e-03,3.906250000000000217e-04,6.028681255409909078e-04,1.000000000000000000e+00
7.578124999999999792e-03,3.906250000000000217e-04,5.981527918331167775e-04,1.000000000000000000e+00
7.734374999999999931e-03,3.906250000000000217e-04,5.914401614651134580e-04,1.000000000000000000e+00
7.890625000000000069e-03,3.906250000000000217e-04,5.824752814536954693e-04,1.000000000000000000e+00
8.046875000000000208e-03,3.906250000000000217e-04,5.709881791531390763e-04,1.000000000000000000e+00
8.203125000000000347e-03,3.906250000000000217e-04,5.566883274870186842e-04,1.000000000000000000e+00
8.359375000000000486e-03,3.906250000000000217e-04,5.392570582804171852e-04,1.000000000000000000e+00
8.515625000000000625e-03,3.906250000000000217e-04,5.183371697276129399e-04,1.000000000000000000e+00
8.671875000000000763e-03,3.906250000000000217e-04,4.935185344745650566e-04,1.000000000000000000e+00
8.828125000000000902e-03,3.906250000000000217e-04,4.643177802277962231e-04,1.000000000000000000e+00
8.984375000000001041e-03,3.906250000000000217e-04,4.301488581077088477e-04,1.000000000000000000e+00
9.140624999999999445e-03,3.906250000000000217e-04,3.902791227642950353e-04,1.000000000000000000e+00
9.296874999999999584e-03,3.906250000000000217e-04,3.437617064429016717e-04,1.000000000000000000e+00
9.453124999999999722e-03,3.906250000000000217e-04,2.893284091055865846e-04,1.000000000000000000e+00
9.609374999999999861e-03,3.906250000000000217e-04,2.252172800043795141e-04,1.000000000000000000e+00
9.765625000000000000e-03,3.906250000000000217e-04,1.488991196531724598e-04,1.000000000000000000e+00
9.921875000000000139e-03,3.906250000000000217e-04,5.668231648581141839e-05,1.000000000000000000e+00
7.812500000000000163e-05,5.468750000000000520e-04,7.032596871090935503e-05,1.000000000000000000e+00
2.343749999999999913e-04,5.468750000000000520e-04,1.888435283884254152e-04,1.000000000000000000e+00
3.906250000000000217e-04,5.468750000000000520e-04,2.893284091055870724e-04,1.000000000000000000e+00
5.468750000000000520e-04,5.468750000000000520e-04,3.750770590866406642e-04,1.000000000000000000e+00
7.031249999999999740e-04,5.468750000000000520e-04,4.486186778176942452e-04,1.000000000000000000e+00
8.593750000000000043e-04,5.468750000000000520e-04,5.118748831820796059e-04,1.000000000000000000e+00
1.015625000000000035e-03,5.468750000000000520e-04,5.663193785957143728e-04,1.000000000000000000e+00
1.171874999999999957e-03,5.468750000000000520e-04,6.131037149172208428e-04,1.000000000000000000e+00
1.328125000000000095e-03,5.468750000000000520e-04,6.531485110584472854e-04,1.000000000000000000e+00
1.484375000000000017e-03,5.468750000000000520e-04,6.872078905218445338e-04,1.000000000000000000e+00
1.640624999999999939e-03,5.468750000000000520e-04,7.159149349973191554e-04,1.000000000000000000e+00
1.796875000000000078e-03,5.468750000000000520e-04,7.398140757021620835e-04,1.000000000000000000e+00
1.953125000000000000e-03,5.468750000000000520e-04,7.593845149590470762e-04,1.000000000000000000e+00
2.109375000000000139e-03,5.468750000000000520e-04,7.750574087854915709e-04,1.000000000000000000e+00
2.265624999999999844e-03,5.468750000000000520e-04,7.872286121165400236e-04,1.000000000000000000e+00
2.421874999999999983e-03,5.468750000000000520e-04,7.962681740912190206e-04,1.000000000000000000e+00
2.578125000000000121e-03,5.468750000000000520e-04,8.025273684841998951e-04,1.000000000000000000e+00
2.734375000000000260e-03,5.468750000000000520e-04,8.063437810168299323e-04,1.000000000000000000e+00
2.890624999999999965e-03,5.468750000000000520e-04,8.080448032384126905e-04,1.000000000000000000e+00
3.046875000000000104e-03,5.468750000000000520e-04,8.079497715126429148e-04,1.000000000000000000e+00
3.203125000000000243e-03,5.468750000000000520e-04,8.063709200050951566e-04,1.000000000000000000e+00
3.359374999999999948e-03,5.468750000000000520e-04,8.036132759407112582e-04,1.000000000000000000e+00
3.515625000000000087e-03,5.468750000000000520e-04,7.999736055599874010e-04,1.000000000000000000e+00
3.671875000000000226e-03,5.468750000000000520e-04,7.957385146648372678e-04,1.000000000000000000e+00
3.828124999999999931e-03,5.468750000000000520e-04,7.911818146953039079e-04,1.000000000000000000e+00
3.984375000000000069e-03,5.468750000000000520e-04,7.865612812096375731e-04,1.000000000000000000e+00
4.140625000000000208e-03,5.468750000000000520e-04,7.821149540567437497e-04,1.000000000000000000e+00
4.296875000000000347e-03,5.468750000000000520e-04,7.780571548052177657e-04,1.000000000000000000e+00
4.453125000000000486e-03,5.468750000000000520e-04,7.745744239718752814e-04,1.000000000000000000e+00
4.609374999999999757e-03,5.468750000000000520e-04,7.718216042334306599e-04,1.000000000000000000e+00
4.765624999999999896e-03,5.468750000000000520e-04,7.699183103359744443e-04,1.000000000000000000e+00
4.921875000000000035e-03,5.468750000000000520e-04,7.689460238764634758e-04,1.000000000000000000e+00
5.078125000000000173e-03,5.468750000000000520e-04,7.689460238764634758e-04,1.000000000000000000e+00
5.234375000000000312e-03,5.468750000000000520e-04,7.699183103359744443e-04,1.000000000000000000e+00
5.390625000000000451e-03,5.468750000000000520e-04,7.718216042334306599e-04,1.000000000000000000e+00
