x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
8.333333333333333868e-04,6.250000000000000130e-04,9.935922585534001428e+01,1.000000000000000036e-10,7.690509405679107923e-05,-9.147523195451865329e-09
2.500000000000000052e-03,6.250000000000000130e-04,9.807727100943361620e+01,1.000000000000000036e-10,7.695438905049084750e-05,-2.782372208116611716e-08
4.166666666666666609e-03,6.250000000000000130e-04,9.679407955365698513e+01,1.000000000000000036e-10,7.705502972617394209e-05,-4.765678468061195553e-08
5.833333333333333599e-03,6.250000000000000130e-04,9.550877001856115101e+01,1.000000000000000036e-10,7.721118902196933114e-05,-6.946268716660596188e-08
7.500000000000000590e-03,6.250000000000000130e-04,9.422037325292467358e+01,1.000000000000000036e-10,7.742930538879035335e-05,-9.412458794827213976e-08
9.166666666666666713e-03,6.250000000000000130e-04,9.292779317226813873e+01,1.000000000000000036e-10,7.771829758892504999e-05,-1.226195621518399680e-07
1.083333333333333370e-02,6.250000000000000130e-04,9.162976333329383749e+01,1.000000000000000036e-10,7.808984959810641652e-05,-1.560444447352437757e-07
1.250000000000000069e-02,6.250000000000000130e-04,9.032479818566459073e+01,1.000000000000000036e-10,7.855876129309917401e-05,-1.956393265089672621e-07
1.416666666666666768e-02,6.250000000000000130e-04,8.901113795685719765e+01,1.000000000000000036e-10,7.914335523108659569e-05,-2.428061269824865562e-07
1.583333333333333467e-02,6.250000000000000130e-04,8.768668634462837019e+01,1.000000000000000036e-10,7.986592082210347185e-05,-2.991180662809255907e-07
1.750000000000000167e-02,6.250000000000000130e-04,8.634894059612041417e+01,1.000000000000000036e-10,8.075316314439076907e-05,-3.663136754352080092e-07
1.916666666666666866e-02,6.250000000000000130e-04,8.499491423981534410e+01,1.000000000000000036e-10,8.183660296518337814e-05,-4.462661901584396121e-07
2.083333333333333565e-02,6.250000000000000130e-04,8.362105383061430075e+01,1.000000000000000036e-10,8.315284577956019078e-05,-5.409159206237744635e-07
2.250000000000000264e-02,6.250000000000000130e-04,8.222315271383000379e+01,1.000000000000000036e-10,8.474360034822792933e-05,-6.521500058778427034e-07
2.416666666666666963e-02,6.250000000000000130e-04,8.079626715234003598e+01,1.000000000000000036e-10,8.665528301280231048e-05,-7.816119925524843821e-07
2.583333333333333662e-02,6.250000000000000130e-04,7.933464328006992616e+01,1.000000000000000036e-10,8.893799877933089375e-05,-9.304248323445560568e-07
2.750000000000000014e-02,6.250000000000000130e-04,7.783166719302900560e+01,1.000000000000000036e-10,9.164365506363208471e-05,-1.098817380881200682e-06
2.916666666666666713e-02,6.250000000000000130e-04,7.627985477794885583e+01,1.000000000000000036e-10,9.482295375008942479e-05,-1.285656633959888177e-06
3.083333333333333412e-02,6.250000000000000130e-04,7.467090206802602381e+01,1.000000000000000036e-10,9.852102755190654429e-05,-1.487898717402913119e-06
3.250000000000000111e-02,6.250000000000000130e-04,7.299582052621863681e+01,1.000000000000000036e-10,1.027715030330027127e-04,-1.699957893420104906e-06
3.416666666666667157e-02,6.250000000000000130e-04,7.124518530025926566e+01,1.000000000000000036e-10,1.075886635274539698e-04,-1.912912477418444209e-06
3.583333333333333509e-02,6.250000000000000130e-04,6.940953174197017006e+01,1.000000000000000036e-10,1.129569397700586547e-04,-2.113294704533927652e-06
3.750000000000000555e-02,6.250000000000000130e-04,6.747995397459064293e+01,1.000000000000000036e-10,1.188161014083634050e-04,-2.281076524195100095e-06
3.916666666666666907e-02,6.250000000000000130e-04,6.544899502835805549e+01,1.000000000000000036e-10,1.250400588446074184e-04,-2.386891552989140749e-06
4.083333333333333259e-02,6.250000000000000130e-04,6.331195201310372767e+01,1.000000000000000036e-10,1.314099030576106801e-04,-2.390491606763588836e-06
4.250000000000000305e-02,6.250000000000000130e-04,6.106866492643769817e+01,1.000000000000000036e-10,1.375922327414590466e-04,-2.246255656122570396e-06
4.416666666666666657e-02,6.250000000000000130e-04,5.872554425505509101e+01,1.000000000000000036e-10,1.431524297075939577e-04,-1.923892068477641391e-06
4.583333333333333703e-02,6.250000000000000130e-04,5.629691726951789832e+01,1.000000000000000036e-10,1.476408360355597809e-04,-1.442412677496349323e-06
4.750000000000000056e-02,6.250000000000000130e-04,5.380418305386976385e+01,1.000000000000000036e-10,1.507353844689542175e-04,-8.784986475501453587e-07
4.916666666666667102e-02,6.250000000000000130e-04,5.127240445388608947e+01,1.000000000000000036e-10,1.522976252329893195e-04,-2.931819254760625632e-07
5.083333333333333454e-02,6.250000000000000130e-04,4.872759554610345134e+01,1.000000000000000036e-10,1.522976252329886690e-04,2.931819254766309752e-07
