x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
2.500000000000000052e-03,1.250000000000000026e-03,9.823323661945035212e+01,1.000000000000000036e-10,7.082078141413319103e-05,-7.512309607307086677e-08
7.499999999999999722e-03,1.250000000000000026e-03,9.468468523913632851e+01,1.000000000000000036e-10,7.147654301202207086e-05,-2.527577028709514870e-07
1.250000000000000069e-02,1.250000000000000026e-03,9.108558231824814300e+01,1.000000000000000036e-10,7.302270382525874177e-05,-5.203227037478085444e-07
1.750000000000000167e-02,1.250000000000000026e-03,8.738241485661045260e+01,1.000000000000000036e-10,7.598868414768487943e-05,-9.626674574653291073e-07
2.249999999999999917e-02,1.250000000000000026e-03,8.348671390347965371e+01,1.000000000000000036e-10,8.130124101617765059e-05,-1.693610976780916708e-06
2.750000000000000014e-02,1.250000000000000026e-03,7.925229075499268561e+01,1.000000000000000036e-10,9.034575936366819461e-05,-2.828648196964422219e-06
3.250000000000000111e-02,1.250000000000000026e-03,7.445213796711283294e+01,1.000000000000000036e-10,1.047087362088379122e-04,-4.352840225620865596e-06
3.749999999999999861e-02,1.250000000000000026e-03,6.878141713410889224e+01,1.000000000000000036e-10,1.248990682167078474e-04,-5.742325778314237550e-06
4.250000000000000305e-02,1.250000000000000026e-03,6.196223114544204691e+01,1.000000000000000036e-10,1.469846757742669630e-04,-5.300478000465033090e-06
4.750000000000000056e-02,1.250000000000000026e-03,5.408294955668219472e+01,1.000000000000000036e-10,1.604518070212264695e-04,-1.433087623014585891e-06
5.249999999999999806e-02,1.250000000000000026e-03,4.591705044331939689e+01,1.000000000000000036e-10,1.604518070212269574e-04,1.433087623014727981e-06
5.750000000000000250e-02,1.250000000000000026e-03,3.803776885455949497e+01,1.000000000000000036e-10,1.469846757742679930e-04,5.300478000464891635e-06
6.250000000000000000e-02,1.250000000000000026e-03,3.121858286589259635e+01,1.000000000000000036e-10,1.248990682167098261e-04,5.742325778314237550e-06
6.750000000000000444e-02,1.250000000000000026e-03,2.554786203288850999e+01,1.000000000000000036e-10,1.047087362088405007e-04,4.352840225620580993e-06
7.249999999999999500e-02,1.250000000000000026e-03,2.074770924500854363e+01,1.000000000000000036e-10,9.034575936367036301e-05,2.828648196964564521e-06
7.749999999999999944e-02,1.250000000000000026e-03,1.651328609652147250e+01,1.000000000000000036e-10,8.130124101618010359e-05,1.693610976780774618e-06
8.250000000000000389e-02,1.250000000000000026e-03,1.261758514339053150e+01,1.000000000000000036e-10,7.598868414768861993e-05,9.626674574651160785e-07
8.750000000000000833e-02,1.250000000000000026e-03,8.914417681752608402e+00,1.000000000000000036e-10,7.302270382526374266e-05,5.203227037473466997e-07
9.249999999999999889e-02,1.250000000000000026e-03,5.315314760864155552e+00,1.000000000000000036e-10,7.147654301202792555e-05,2.527577028705429524e-07
