x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
1.250000000000000026e-03,1.250000000000000026e-04,3.328047891871122488e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-03,1.250000000000000026e-04,3.329105696391869742e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000347e-03,1.250000000000000026e-04,3.329541919706622366e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-03,1.250000000000000026e-04,3.329774675213285491e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999958e-02,1.250000000000000026e-04,3.329927113220028332e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000007e-02,1.250000000000000026e-04,3.330038326680301566e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000056e-02,1.250000000000000026e-04,3.330124781857823564e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-02,1.250000000000000026e-04,3.330194900042486665e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.125000000000000153e-02,1.250000000000000026e-04,3.330253547714022488e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.375000000000000028e-02,1.250000000000000026e-04,3.330303781153818932e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.624999999999999903e-02,1.250000000000000026e-04,3.330347639681184546e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.875000000000000125e-02,1.250000000000000026e-04,3.330386547821896102e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-02,1.250000000000000026e-04,3.330421536394982240e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.375000000000000222e-02,1.250000000000000026e-04,3.330453372058451578e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.624999999999999750e-02,1.250000000000000026e-04,3.330482637317161334e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.874999999999999972e-02,1.250000000000000026e-04,3.330509782199711708e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.125000000000000194e-02,1.250000000000000026e-04,3.330535158957643489e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000416e-02,1.250000000000000026e-04,3.330559046165225823e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.624999999999999944e-02,1.250000000000000026e-04,3.330581665953441188e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.875000000000000167e-02,1.250000000000000026e-04,3.330603196644457284e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.125000000000000389e-02,1.250000000000000026e-04,3.330623782208862167e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.374999999999999917e-02,1.250000000000000026e-04,3.330643539466518632e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.625000000000000139e-02,1.250000000000000026e-04,3.330662563645388445e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.875000000000000361e-02,1.250000000000000026e-04,3.330680932719865268e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.124999999999999889e-02,1.250000000000000026e-04,3.330698710825646458e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.375000000000000111e-02,1.250000000000000026e-04,3.330715950965587808e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.625000000000000333e-02,1.250000000000000026e-04,3.330732697164714864e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000555e-02,1.250000000000000026e-04,3.330748986193185601e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.125000000000000777e-02,1.250000000000000026e-04,3.330764848947981704e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.374999999999999611e-02,1.250000000000000026e-04,3.330780311563396481e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.624999999999999833e-02,1.250000000000000026e-04,3.330795396305142049e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.875000000000000056e-02,1.250000000000000026e-04,3.330810122291190964e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000278e-02,1.250000000000000026e-04,3.330824506073579983e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.375000000000000500e-02,1.250000000000000026e-04,3.330838562108326641e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.625000000000000722e-02,1.250000000000000026e-04,3.330852303134790873e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.874999999999999556e-02,1.250000000000000026e-04,3.330865740473275878e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.124999999999999778e-02,1.250000000000000026e-04,3.330878884102066309e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.375000000000000000e-02,1.250000000000000026e-04,3.330891739844240078e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.625000000000000222e-02,1.250000000000000026e-04,3.330904258142684284e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.875000000000000444e-02,1.250000000000000026e-04,3.330915544225485974e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000026e-03,3.750000000000000078e-04,3.321133097568160224e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-03,3.750000000000000078e-04,3.324323304987669871e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000347e-03,3.750000000000000078e-04,3.325627793797947902e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-03,3.750000000000000078e-04,3.326324828814853731e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999958e-02,3.750000000000000078e-04,3.326781751905551232e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000007e-02,3.750000000000000078e-04,3.327115227623731357e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000056e-02,3.750000000000000078e-04,3.327374508943398155e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
