x_m,pressure_Pa,radius_m,velocity_m_s,flow_m3_s
0.000000000000000000e+00,5.000000000000000000e+03,2.049999999999999739e-03,5.003049186399546322e-01,6.605297264849690429e-06
1.672240802675585255e-03,4.984071066332576265e+03,2.049840710663325752e-03,5.003826772039421389e-01,6.605297264849690429e-06
3.344481605351170509e-03,4.968137192893904285e+03,2.049681371928938848e-03,5.004604780198516067e-01,6.605297264849690429e-06
5.016722408026755980e-03,4.952198375992849833e+03,2.049521983759928449e-03,5.005383211282277145e-01,6.605297264849690429e-06
6.688963210702341018e-03,4.936254611935652065e+03,2.049362546119356220e-03,5.006162065696639907e-01,6.605297264849690429e-06
8.361204013377926056e-03,4.920305897025918057e+03,2.049203058970259107e-03,5.006941343848001491e-01,6.605297264849690429e-06
1.003344481605351196e-02,4.904352227564628265e+03,2.049043522275646300e-03,5.007721046143248644e-01,6.605297264849690429e-06
1.170568561872909613e-02,4.888393599850122882e+03,2.048883935998501403e-03,5.008501172989737737e-01,6.605297264849690429e-06
1.337792642140468204e-02,4.872430010178111843e+03,2.048724300101781130e-03,5.009281724795311419e-01,6.605297264849690429e-06
1.505016722408026794e-02,4.856461454841663908e+03,2.048564614548416610e-03,5.010062701968284182e-01,6.605297264849690429e-06
1.672240802675585211e-02,4.840487930131211215e+03,2.048404879301312514e-03,5.010844104917451247e-01,6.605297264849690429e-06
1.839464882943143628e-02,4.824509432334540179e+03,2.048245094323345328e-03,5.011625934052098552e-01,6.605297264849690429e-06
2.006688963210702392e-02,4.808525957736797864e+03,2.048085259577368117e-03,5.012408189781979440e-01,6.605297264849690429e-06
2.173913043478260809e-02,4.792537502620483792e+03,2.047925375026204888e-03,5.013190872517337970e-01,6.605297264849690429e-06
2.341137123745819226e-02,4.776544063265449040e+03,2.047765440632654498e-03,5.013973982668898932e-01,6.605297264849690429e-06
2.508361204013377990e-02,4.760545635948896233e+03,2.047605456359488912e-03,5.014757520647870059e-01,6.605297264849690429e-06
2.675585284280936407e-02,4.744542216945375912e+03,2.047445422169453643e-03,5.015541486865943144e-01,6.605297264849690429e-06
2.842809364548494824e-02,4.728533802526786531e+03,2.047285338025267749e-03,5.016325881735292924e-01,6.605297264849690429e-06
3.010033444816053588e-02,4.712520388962369907e+03,2.047125203889623834e-03,5.017110705668582638e-01,6.605297264849690429e-06
3.177257525083612005e-02,4.696501972518709408e+03,2.046965019725187178e-03,5.017895959078962909e-01,6.605297264849690429e-06
3.344481605351170422e-02,4.680478549459729948e+03,2.046804785494597042e-03,5.018681642380067309e-01,6.605297264849690429e-06
3.511705685618728839e-02,4.664450116046694347e+03,2.046644501160467099e-03,5.019467755986014579e-01,6.605297264849690429e-06
3.678929765886287256e-02,4.648416668538204249e+03,2.046484166685381967e-03,5.020254300311421947e-01,6.605297264849690429e-06
3.846153846153846367e-02,4.632378114562110568e+03,2.046323781145621343e-03,5.021041280120696060e-01,6.605297264849690429e-06
4.013377926421404784e-02,4.616334405714707827e+03,2.046163344057147070e-03,5.021828698024503046e-01,6.605297264849690429e-06
4.180602006688963201e-02,4.600285673138047969e+03,2.046002856731380607e-03,5.022616547820791810e-01,6.605297264849690429e-06
4.347826086956521618e-02,4.584231913081677703e+03,2.045842319130816798e-03,5.023404829926003679e-01,6.605297264849690429e-06
4.515050167224080035e-02,4.568173121792468919e+03,2.045681731217924466e-03,5.024193544757068475e-01,6.605297264849690429e-06
4.682274247491638453e-02,4.552109295514623227e+03,2.045521092955146416e-03,5.024982692731406742e-01,6.605297264849690429e-06
4.849498327759197563e-02,4.536040430489663777e+03,2.045360404304896827e-03,5.025772274266938622e-01,6.605297264849690429e-06
5.016722408026755980e-02,4.519966522956436165e+03,2.045199665229564725e-03,5.026562289782072757e-01,6.605297264849690429e-06
5.183946488294314398e-02,4.503887569151106618e+03,2.045038875691511382e-03,5.027352739695712946e-01,6.605297264849690429e-06
5.351170568561872815e-02,4.487803565307157442e+03,2.044878035653071614e-03,5.028143624427258151e-01,6.605297264849690429e-06
5.518394648829431232e-02,4.471714507655388843e+03,2.044717145076553784e-03,5.028934944396600271e-01,6.605297264849690429e-06
5.685618729096989649e-02,4.455620392423913472e+03,2.044556203924239365e-03,5.029726700024128583e-01,6.605297264849690429e-06
5.852842809364548066e-02,4.439521215838154603e+03,2.044395212158381641e-03,5.030518891730734188e-01,6.605297264849690429e-06
6.020066889632107177e-02,4.423416974120847954e+03,2.044234169741208744e-03,5.031311519937800014e-01,6.605297264849690429e-06
6.187290969899665594e-02,4.407307663492036227e+03,2.044073076634920182e-03,5.032104585067211922e-01,6.605297264849690429e-06
6.354515050167224011e-02,4.391193280169067293e+03,2.043911932801690742e-03,5.032898087541348708e-01,6.605297264849690429e-06
6.521739130434782428e-02,4.375073820366593282e+03,2.043750738203666158e-03,5.033692027783092104e-01,6.605297264849690429e-06
6.688963210702340845e-02,4.358949280296566030e+03,2.043589492802965705e-03,5.034486406215830101e-01,6.605297264849690429e-06
6.856187290969899262e-02,4.342819656168238907e+03,2.043428196561682640e-03,5.035281223263442518e-01,6.605297264849690429e-06
7.023411371237457679e-02,4.326684944188164081e+03,2.043266849441881597e-03,5.036076479350318769e-01,6.605297264849690429e-06
7.190635451505016096e-02,4.310545140560186155e+03,2.043105451405602055e-03,5.036872174901342314e-01,6.605297264849690429e-06
7.357859531772574513e-02,4.294400241485445804e+03,2.042944002414854437e-03,5.037668310341910649e-01,6.605297264849690429e-06
7.525083612040134318e-02,4.278250243162374318e+03,2.042782502431623581e-03,5.038464886097914208e-01,6.605297264849690429e-06
7.692307692307692735e-02,4.262095141786691784e+03,2.042620951417866999e-03,5.039261902595757459e-01,6.605297264849690429e-06
7.859531772575251152e-02,4.245934933551407084e+03,2.042459349335514016e-03,5.040059360262345578e-01,6.605297264849690429e-06
8.026755852842809569e-02,4.229769614646814262e+03,2.042297696146467938e-03,5.040857259525092227e-01,6.605297264849690429e-06
8.193979933110367986e-02,4.213599181260490695e+03,2.042135991812605179e-03,5.041655600811912885e-01,6.605297264849690429e-06
8.361204013377926403e-02,4.197423597082456581e+03,2.041974235970824263e-03,5.042454386156097756e-01,6.605297264849690429e-06
8.528428093645484820e-02,4.181242745838620976e+03,2.041812427458386450e-03,5.043253621543029031e-01,6.605297264849690429e-06
8.695652173913043237e-02,4.165056770309522108e+03,2.041650567703095359e-03,5.044053300163484632e-01,6.605297264849690429e-06
8.862876254180601654e-02,4.148865666673508713e+03,2.041488656666735034e-03,5.044853422447282965e-01,6.605297264849690429e-06
9.030100334448160071e-02,4.132669431106202865e+03,2.041326694311062194e-03,5.045653988824745362e-01,6.605297264849690429e-06
9.197324414715718488e-02,4.116468059780499971e+03,2.041164680597804936e-03,5.046454999726719404e-01,6.605297264849690429e-06
9.364548494983276905e-02,4.100261548866566955e+03,2.041002615488665770e-03,5.047256455584548940e-01,6.605297264849690429e-06
9.531772575250835322e-02,4.084049894531836799e+03,2.040840498945318150e-03,5.048058356830105176e-01,6.605297264849690429e-06
9.698996655518395127e-02,4.067833092941010364e+03,2.040678330929410374e-03,5.048860703895755586e-01,6.605297264849690429e-06
9.866220735785953544e-02,4.051611140256052749e+03,2.040516111402560818e-03,5.049663497214399444e-01,6.605297264849690429e-06
1.003344481605351196e-01,4.035384032636191023e+03,2.040353840326361839e-03,5.050466737219440061e-01,6.605297264849690429e-06
