x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
6.250000000000000130e-04,1.250000000000000026e-04,3.331165512470535646e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-03,1.250000000000000026e-04,3.331255244562788107e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000173e-03,1.250000000000000026e-04,3.331305321321618180e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000416e-03,1.250000000000000026e-04,3.331331925012048032e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.624999999999999792e-03,1.250000000000000026e-04,3.331348242059513609e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000035e-03,1.250000000000000026e-04,3.331359610177784134e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000278e-03,1.250000000000000026e-04,3.331368214129258831e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.374999999999999653e-03,1.250000000000000026e-04,3.331375075740538705e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.062500000000000076e-02,1.250000000000000026e-04,3.331380743195803689e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.187500000000000014e-02,1.250000000000000026e-04,3.331385543809585101e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.312499999999999951e-02,1.250000000000000026e-04,3.331389688722996993e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.437500000000000062e-02,1.250000000000000026e-04,3.331393322020927599e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,1.250000000000000026e-04,3.331396546307905169e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.687500000000000111e-02,1.250000000000000026e-04,3.331399437147223352e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.812499999999999875e-02,1.250000000000000026e-04,3.331402051733654730e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.937499999999999986e-02,1.250000000000000026e-04,3.331404434360997584e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.062500000000000097e-02,1.250000000000000026e-04,3.331406620005845980e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.187500000000000208e-02,1.250000000000000026e-04,3.331408636753446899e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.312499999999999972e-02,1.250000000000000026e-04,3.331410507485019252e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.437500000000000083e-02,1.250000000000000026e-04,3.331412251079182738e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.562500000000000194e-02,1.250000000000000026e-04,3.331413883285160864e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.687499999999999958e-02,1.250000000000000026e-04,3.331415417369067882e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.812500000000000069e-02,1.250000000000000026e-04,3.331416864600245162e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.937500000000000180e-02,1.250000000000000026e-04,3.331418234622703949e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.062499999999999944e-02,1.250000000000000026e-04,3.331419535742839457e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.187500000000000056e-02,1.250000000000000026e-04,3.331420775155174852e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.312500000000000167e-02,1.250000000000000026e-04,3.331421959121636860e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.437500000000000278e-02,1.250000000000000026e-04,3.331423093115591314e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.562500000000000389e-02,1.250000000000000026e-04,3.331424181938774609e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.687499999999999806e-02,1.250000000000000026e-04,3.331425229817204468e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.812499999999999917e-02,1.250000000000000026e-04,3.331426240480593037e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.937500000000000028e-02,1.250000000000000026e-04,3.331427217228628024e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.062500000000000139e-02,1.250000000000000026e-04,3.331428162986835559e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.187500000000000250e-02,1.250000000000000026e-04,3.331429080353873360e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.312500000000000361e-02,1.250000000000000026e-04,3.331429971641950374e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.437499999999999778e-02,1.250000000000000026e-04,3.331430838911514343e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.562499999999999889e-02,1.250000000000000026e-04,3.331431684001184976e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.687500000000000000e-02,1.250000000000000026e-04,3.331432508553745038e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.812500000000000111e-02,1.250000000000000026e-04,3.331433314038737308e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.937500000000000222e-02,1.250000000000000026e-04,3.331434101772234726e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.062500000000000333e-02,1.250000000000000026e-04,3.331434872934166265e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.187500000000000444e-02,1.250000000000000026e-04,3.331435628583544144e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.312499999999999861e-02,1.250000000000000026e-04,3.331436369671897637e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.437499999999999972e-02,1.250000000000000026e-04,3.331437097055109007e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.562500000000000083e-02,1.250000000000000026e-04,3.331437811503896000e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.687500000000000194e-02,1.250000000000000026e-04,3.331438513713096086e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.812500000000000305e-02,1.250000000000000026e-04,3.331439204309886009e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.937500000000000416e-02,1.250000000000000026e-04,3.331439883861105500e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.062499999999999833e-02,1.250000000000000026e-04,3.331440552879737425e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.187499999999999944e-02,1.250000000000000026e-04,3.331441211830679663e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.312500000000000056e-02,1.250000000000000026e-04,3.331441861135889440e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.437500000000000167e-02,1.250000000000000026e-04,3.331442501178941598e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.562500000000000278e-02,1.250000000000000026e-04,3.331443132309121893e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.687500000000000389e-02,1.250000000000000026e-04,3.331443754845041099e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.812500000000000500e-02,1.250000000000000026e-04,3.331444369077873375e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.937500000000000611e-02,1.250000000000000026e-04,3.331444975274245621e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
