y_m,velocity_m_s,exact_m_s
1.250000000000000026e-04,6.249999999999994709e-04,6.171875000000000061e-04
3.750000000000000078e-04,1.812499999999998574e-03,1.804687500000000085e-03
6.250000000000000130e-04,2.937499999999997839e-03,2.929687500000000000e-03
8.750000000000000182e-04,3.999999999999996614e-03,3.992187499999999209e-03
1.125000000000000132e-03,4.999999999999994900e-03,4.992187500000000965e-03
1.374999999999999920e-03,5.937499999999993130e-03,5.929687500000000062e-03
1.625000000000000142e-03,6.812499999999990438e-03,6.804687500000000840e-03
1.874999999999999931e-03,7.624999999999988558e-03,7.617187499999999827e-03
2.125000000000000153e-03,8.374999999999986622e-03,8.367187500000001360e-03
2.374999999999999941e-03,9.062499999999983763e-03,9.054687499999998501e-03
2.625000000000000163e-03,9.687499999999980849e-03,9.679687500000000791e-03
2.874999999999999951e-03,1.024999999999997788e-02,1.024218750000000129e-02
3.125000000000000173e-03,1.074999999999997485e-02,1.074218750000000000e-02
3.374999999999999962e-03,1.118749999999997351e-02,1.117968750000000212e-02
3.625000000000000184e-03,1.156249999999997211e-02,1.155468750000000246e-02
3.874999999999999972e-03,1.187499999999997238e-02,1.186718749999999926e-02
4.125000000000000194e-03,1.212499999999997261e-02,1.211718750000000122e-02
4.375000000000000416e-03,1.231249999999997277e-02,1.230468749999999965e-02
4.624999999999999771e-03,1.243749999999997462e-02,1.242968749999999976e-02
4.874999999999999993e-03,1.249999999999997814e-02,1.249218750000000155e-02
5.125000000000000215e-03,1.249999999999998161e-02,1.249218750000000155e-02
5.375000000000000437e-03,1.243749999999998503e-02,1.242968749999999976e-02
5.624999999999999792e-03,1.231249999999998491e-02,1.230468749999999965e-02
5.875000000000000014e-03,1.212499999999998648e-02,1.211718750000000122e-02
6.125000000000000236e-03,1.187499999999998800e-02,1.186718749999999926e-02
6.375000000000000458e-03,1.156249999999998945e-02,1.155468750000000072e-02
6.624999999999999813e-03,1.118749999999999085e-02,1.117968750000000212e-02
6.875000000000000035e-03,1.074999999999999220e-02,1.074218750000000000e-02
7.125000000000000257e-03,1.024999999999999176e-02,1.024218750000000129e-02
7.375000000000000479e-03,9.687499999999994726e-03,9.679687499999999056e-03
7.624999999999999833e-03,9.062499999999997641e-03,9.054687500000000236e-03
7.875000000000000056e-03,8.374999999999998765e-03,8.367187500000001360e-03
8.125000000000000278e-03,7.624999999999998966e-03,7.617187499999999827e-03
8.375000000000000500e-03,6.812499999999998244e-03,6.804687499999999105e-03
8.625000000000000722e-03,5.937499999999998335e-03,5.929687499999998328e-03
8.875000000000000944e-03,4.999999999999998369e-03,4.992187499999997495e-03
9.124999999999999431e-03,3.999999999999998349e-03,3.992187500000002678e-03
9.374999999999999653e-03,2.937499999999998706e-03,2.929687500000002602e-03
9.624999999999999875e-03,1.812499999999999225e-03,1.804687500000001386e-03
9.875000000000000097e-03,6.249999999999997962e-04,6.171875000000005482e-04
