x_m,y_m,velocity_m_s,fluid_mask
1.041666666666666734e-04,1.041666666666666734e-04,2.887016954309770726e-05,1.000000000000000000e+00
3.125000000000000065e-04,1.041666666666666734e-04,6.490911974040423547e-05,1.000000000000000000e+00
5.208333333333333261e-04,1.041666666666666734e-04,9.110650403568685011e-05,1.000000000000000000e+00
7.291666666666666999e-04,1.041666666666666734e-04,1.114988365986276358e-04,1.000000000000000000e+00
9.375000000000000737e-04,1.041666666666666734e-04,1.278428309029760622e-04,1.000000000000000000e+00
1.145833333333333339e-03,1.041666666666666734e-04,1.410837741409575190e-04,1.000000000000000000e+00
1.354166666666666713e-03,1.041666666666666734e-04,1.518145331161324641e-04,1.000000000000000000e+00
1.562500000000000087e-03,1.041666666666666734e-04,1.604483661692469344e-04,1.000000000000000000e+00
1.770833333333333461e-03,1.041666666666666734e-04,1.672963322847087464e-04,1.000000000000000000e+00
1.979166666666666834e-03,1.041666666666666734e-04,1.726071578378485813e-04,1.000000000000000000e+00
2.187500000000000208e-03,1.041666666666666734e-04,1.765899694026334423e-04,1.000000000000000000e+00
2.395833333333333582e-03,1.041666666666666734e-04,1.794281798183926290e-04,1.000000000000000000e+00
2.604166666666666956e-03,1.041666666666666734e-04,1.812883048238424807e-04,1.000000000000000000e+00
2.812500000000000330e-03,1.041666666666666734e-04,1.823255899824733576e-04,1.000000000000000000e+00
3.020833333333333703e-03,1.041666666666666734e-04,1.826874488826409992e-04,1.000000000000000000e+00
3.229166666666667077e-03,1.041666666666666734e-04,1.825152800246002789e-04,1.000000000000000000e+00
3.437500000000000017e-03,1.041666666666666734e-04,1.819450097442699597e-04,1.000000000000000000e+00
3.645833333333333391e-03,1.041666666666666734e-04,1.811065974638973635e-04,1.000000000000000000e+00
3.854166666666666765e-03,1.041666666666666734e-04,1.801226854245329214e-04,1.000000000000000000e+00
4.062500000000000139e-03,1.041666666666666734e-04,1.791065514935299367e-04,1.000000000000000000e+00
4.270833333333333946e-03,1.041666666666666734e-04,1.781595212788434138e-04,1.000000000000000000e+00
4.479166666666666886e-03,1.041666666666666734e-04,1.773680182143121250e-04,1.000000000000000000e+00
4.687500000000000694e-03,1.041666666666666734e-04,1.768004861247327139e-04,1.000000000000000000e+00
4.895833333333333634e-03,1.041666666666666734e-04,1.765045052385361374e-04,1.000000000000000000e+00
5.104166666666666574e-03,1.041666666666666734e-04,1.765045052385361374e-04,1.000000000000000000e+00
5.312500000000000382e-03,1.041666666666666734e-04,1.768004861247327139e-04,1.000000000000000000e+00
5.520833333333333322e-03,1.041666666666666734e-04,1.773680182143121250e-04,1.000000000000000000e+00
5.729166666666667129e-03,1.041666666666666734e-04,1.781595212788434680e-04,1.000000000000000000e+00
5.937500000000000069e-03,1.041666666666666734e-04,1.791065514935299638e-04,1.000000000000000000e+00
6.145833333333333877e-03,1.041666666666666734e-04,1.801226854245329214e-04,1.000000000000000000e+00
6.354166666666666817e-03,1.041666666666666734e-04,1.811065974638973364e-04,1.000000000000000000e+00
6.562500000000000625e-03,1.041666666666666734e-04,1.819450097442699597e-04,1.000000000000000000e+00
6.770833333333333565e-03,1.041666666666666734e-04,1.825152800246003060e-04,1.000000000000000000e+00
6.979166666666667372e-03,1.041666666666666734e-04,1.826874488826409992e-04,1.000000000000000000e+00
7.187500000000000312e-03,1.041666666666666734e-04,1.823255899824733847e-04,1.000000000000000000e+00
7.395833333333334120e-03,1.041666666666666734e-04,1.812883048238423994e-04,1.000000000000000000e+00
7.604166666666667060e-03,1.041666666666666734e-04,1.794281798183924935e-04,1.000000000000000000e+00
7.812500000000000000e-03,1.041666666666666734e-04,1.765899694026332796e-04,1.000000000000000000e+00
8.020833333333334675e-03,1.041666666666666734e-04,1.726071578378483374e-04,1.000000000000000000e+00
8.229166666666667615e-03,1.041666666666666734e-04,1.672963322847085838e-04,1.000000000000000000e+00
8.437500000000000555e-03,1.041666666666666734e-04,1.604483661692467447e-04,1.000000000000000000e+00
8.645833333333333495e-03,1.041666666666666734e-04,1.518145331161323557e-04,1.000000000000000000e+00
8.854166666666666435e-03,1.041666666666666734e-04,1.410837741409575190e-04,1.000000000000000000e+00
9.062500000000001110e-03,1.041666666666666734e-04,1.278428309029761164e-04,1.000000000000000000e+00
9.270833333333334050e-03,1.041666666666666734e-04,1.114988365986276087e-04,1.000000000000000000e+00
9.479166666666666990e-03,1.041666666666666734e-04,9.110650403568683656e-05,1.000000000000000000e+00
9.687499999999999931e-03,1.041666666666666734e-04,6.490911974040423547e-05,1.000000000000000000e+00
9.895833333333334605e-03,1.041666666666666734e-04,2.887016954309770388e-05,1.000000000000000000e+00
1.041666666666666734e-04,3.125000000000000065e-04,6.490911974040423547e-05,1.000000000000000000e+00
3.125000000000000065e-04,3.125000000000000065e-04,1.611661473454588812e-04,1.000000000000000000e+00
5.208333333333333261e-04,3.125000000000000065e-04,2.357217860616246338e-04,1.000000000000000000e+00
7.291666666666666999e-04,3.125000000000000065e-04,2.951420702766974127e-04,1.000000000000000000e+00
9.375000000000000737e-04,3.125000000000000065e-04,3.432287659975177493e-04,1.000000000000000000e+00
1.145833333333333339e-03,3.125000000000000065e-04,3.823587289079016620e-04,1.000000000000000000e+00
1.354166666666666713e-03,3.125000000000000065e-04,4.141377474926800266e-04,1.000000000000000000e+00
1.562500000000000087e-03,3.125000000000000065e-04,4.397281876676156754e-04,1.000000000000000000e+00
1.770833333333333461e-03,3.125000000000000065e-04,4.600233596386705658e-04,1.000000000000000000e+00
1.979166666666666834e-03,3.125000000000000065e-04,4.757467097241227690e-04,1.000000000000000000e+00
2.187500000000000208e-03,3.125000000000000065e-04,4.875117315791484859e-04,1.000000000000000000e+00
2.395833333333333582e-03,3.125000000000000065e-04,4.958598470877094086e-04,1.000000000000000000e+00
2.604166666666666956e-03,3.125000000000000065e-04,5.012849765405688477e-04,1.000000000000000000e+00
2.812500000000000330e-03,3.125000000000000065e-04,5.042494184281056573e-04,1.000000000000000000e+00
3.020833333333333703e-03,3.125000000000000065e-04,5.051935966283535194e-04,1.000000000000000000e+00
3.229166666666667077e-03,3.125000000000000065e-04,5.045411637183128389e-04,1.000000000000000000e+00
3.437500000000000017e-03,3.125000000000000065e-04,5.027003934550743156e-04,1.000000000000000000e+00
3.645833333333333391e-03,3.125000000000000065e-04,5.000625143729062584e-04,1.000000000000000000e+00
3.854166666666666765e-03,3.125000000000000065e-04,4.969975003874596564e-04,1.000000000000000000e+00
4.062500000000000139e-03,3.125000000000000065e-04,4.938477729864959413e-04,1.000000000000000000e+00
4.270833333333333946e-03,3.125000000000000065e-04,4.909202589085977361e-04,1.000000000000000000e+00
4.479166666666666886e-03,3.125000000000000065e-04,4.884773058902066841e-04,1.000000000000000000e+00
4.687500000000000694e-03,3.125000000000000065e-04,4.867271293930376295e-04,1.000000000000000000e+00
4.895833333333333634e-03,3.125000000000000065e-04,4.858147570516341577e-04,1.000000000000000000e+00
5.104166666666666574e-03,3.125000000000000065e-04,4.858147570516341035e-04,1.000000000000000000e+00
5.312500000000000382e-03,3.125000000000000065e-04,4.867271293930376295e-04,1.000000000000000000e+00
5.520833333333333322e-03,3.125000000000000065e-04,4.884773058902065757e-04,1.000000000000000000e+00
5.729166666666667129e-03,3.125000000000000065e-04,4.909202589085976277e-04,1.000000000000000000e+00
5.937500000000000069e-03,3.125000000000000065e-04,4.938477729864957245e-04,1.000000000000000000e+00
6.145833333333333877e-03,3.125000000000000065e-04,4.969975003874594396e-04,1.000000000000000000e+00
6.354166666666666817e-03,3.125000000000000065e-04,5.000625143729061500e-04,1.000000000000000000e+00
6.562500000000000625e-03,3.125000000000000065e-04,5.027003934550743156e-04,1.000000000000000000e+00
6.770833333333333565e-03,3.125000000000000065e-04,5.045411637183128389e-04,1.000000000000000000e+00
6.979166666666667372e-03,3.125000000000000065e-04,5.051935966283536278e-04,1.000000000000000000e+00
7.187500000000000312e-03,3.125000000000000065e-04,5.042494184281055489e-04,1.000000000000000000e+00
7.395833333333334120e-03,3.125000000000000065e-04,5.012849765405686308e-04,1.000000000000000000e+00
7.604166666666667060e-03,3.125000000000000065e-04,4.958598470877089749e-04,1.000000000000000000e+00
7.812500000000000000e-03,3.125000000000000065e-04,4.875117315791477812e-04,1.000000000000000000e+00
8.020833333333334675e-03,3.125000000000000065e-04,4.757467097241221184e-04,1.000000000000000000e+00
8.229166666666667615e-03,3.125000000000000065e-04,4.600233596386700779e-04,1.000000000000000000e+00
8.437500000000000555e-03,3.125000000000000065e-04,4.397281876676152959e-04,1.000000000000000000e+00
8.645833333333333495e-03,3.125000000000000065e-04,4.141377474926797014e-04,1.000000000000000000e+00
8.854166666666666435e-03,3.125000000000000065e-04,3.823587289079014451e-04,1.000000000000000000e+00
9.062500000000001110e-03,3.125000000000000065e-04,3.432287659975176409e-04,1.000000000000000000e+00
9.270833333333334050e-03,3.125000000000000065e-04,2.951420702766973042e-04,1.000000000000000000e+00
9.479166666666666990e-03,3.125000000000000065e-04,2.357217860616245796e-04,1.000000000000000000e+00
9.687499999999999931e-03,3.125000000000000065e-04,1.611661473454588270e-04,1.000000000000000000e+00
9.895833333333334605e-03,3.125000000000000065e-04,6.490911974040422191e-05,1.000000000000000000e+00
1.041666666666666734e-04,5.208333333333333261e-04,9.110650403568686367e-05,1.000000000000000000e+00
3.125000000000000065e-04,5.208333333333333261e-04,2.357217860616246338e-04,1.000000000000000000e+00
5.208333333333333261e-04,5.208333333333333261e-04,3.520696448108776456e-04,1.000000000000000000e+00
7.291666666666666999e-04,5.208333333333333261e-04,4.467161146712417914e-04,1.000000000000000000e+00
9.375000000000000737e-04,5.208333333333333261e-04,5.241686561247180199e-04,1.000000000000000000e+00
1.145833333333333339e-03,5.208333333333333261e-04,5.875818502226732958e-04,1.000000000000000000e+00
1.354166666666666713e-03,5.208333333333333261e-04,6.392467625012923562e-04,1.000000000000000000e+00
1.562500000000000087e-03,5.208333333333333261e-04,6.809004995920876595e-04,1.000000000000000000e+00
1.770833333333333461e-03,5.208333333333333261e-04,7.139194311004571237e-04,1.000000000000000000e+00
1.979166666666666834e-03,5.208333333333333261e-04,7.394418120630459005e-04,1.000000000000000000e+00
2.187500000000000208e-03,5.208333333333333261e-04,7.584476223243504563e-04,1.000000000000000000e+00
2.395833333333333582e-03,5.208333333333333261e-04,7.718117226349497772e-04,1.000000000000000000e+00
2.604166666666666956e-03,5.208333333333333261e-04,7.803395580448403831e-04,1.000000000000000000e+00
2.812500000000000330e-03,5.208333333333333261e-04,7.847907327832490641e-04,1.000000000000000000e+00
3.020833333333333703e-03,5.208333333333333261e-04,7.858935777065768772e-04,1.000000000000000000e+00
