x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
8.333333333333333868e-04,6.250000000000000130e-04,9.940066197907036383e+01,1.000000000000000036e-10,7.193527486652881095e-05,-1.103426622933056743e-08
2.500000000000000052e-03,6.250000000000000130e-04,9.820149552537867521e+01,1.000000000000000036e-10,7.199473810262345679e-05,-3.356316084364151888e-08
4.166666666666666609e-03,6.250000000000000130e-04,9.700083737564958142e+01,1.000000000000000036e-10,7.211614156163957939e-05,-5.748943341870925249e-08
5.833333333333333599e-03,6.250000000000000130e-04,9.579762413999068826e+01,1.000000000000000036e-10,7.230452620409321524e-05,-8.379904842115590885e-08
7.500000000000000590e-03,6.250000000000000130e-04,9.459068650217980689e+01,1.000000000000000036e-10,7.256767120724786138e-05,-1.135597039427693494e-07
9.166666666666666713e-03,6.250000000000000130e-04,9.337870176641575881e+01,1.000000000000000036e-10,7.291635547679856848e-05,-1.479534982178165156e-07
1.083333333333333370e-02,6.250000000000000130e-04,9.216014131961985356e+01,1.000000000000000036e-10,7.336470504542686431e-05,-1.883086782532927543e-07
1.250000000000000069e-02,6.250000000000000130e-04,9.093321159823486255e+01,1.000000000000000036e-10,7.393062166205650041e-05,-2.361287842182945720e-07
1.416666666666666768e-02,6.250000000000000130e-04,8.969578726421796944e+01,1.000000000000000036e-10,7.463628160150205363e-05,-2.931161703668294259e-07
1.583333333333333467e-02,6.250000000000000130e-04,8.844533554485145999e+01,1.000000000000000036e-10,7.550868312641793715e-05,-3.611849733209737081e-07
1.750000000000000167e-02,6.250000000000000130e-04,8.717883116000403732e+01,1.000000000000000036e-10,7.658020441297805564e-05,-4.424559915980807215e-07
1.916666666666666866e-02,6.250000000000000130e-04,8.589266206441885743e+01,1.000000000000000036e-10,7.788910920435496285e-05,-5.392226019330335712e-07
2.083333333333333565e-02,6.250000000000000130e-04,8.458252751985887130e+01,1.000000000000000036e-10,7.947990328481066720e-05,-6.538729584093515958e-07
2.250000000000000264e-02,6.250000000000000130e-04,8.324333195492516779e+01,1.000000000000000036e-10,8.140340048613407603e-05,-7.887499425839904324e-07
2.416666666666666963e-02,6.250000000000000130e-04,8.186908083698773453e+01,1.000000000000000036e-10,8.371630444602129982e-05,-9.459280273284775145e-07
2.583333333333333662e-02,6.250000000000000130e-04,8.045278847339112360e+01,1.000000000000000036e-10,8.648005858309329051e-05,-1.126887575474597529e-06
2.750000000000000014e-02,6.250000000000000130e-04,7.898641221755129038e+01,1.000000000000000036e-10,8.975867447939887660e-05,-1.332074346755689157e-06
2.916666666666666713e-02,6.250000000000000130e-04,7.746083265741116008e+01,1.000000000000000036e-10,9.361523266192489992e-05,-1.560344290137436236e-06
3.083333333333333412e-02,6.250000000000000130e-04,7.586590446215379302e+01,1.000000000000000036e-10,9.810675810338449700e-05,-1.808299790957902988e-06
3.250000000000000111e-02,6.250000000000000130e-04,7.419060738729834270e+01,1.000000000000000036e-10,1.032771458177850595e-04,-2.069490994844613388e-06
3.416666666666667157e-02,6.250000000000000130e-04,7.242333293489429025e+01,1.000000000000000036e-10,1.091475748923734289e-04,-2.333330811097766475e-06
3.583333333333333509e-02,6.250000000000000130e-04,7.055235489088589418e+01,1.000000000000000036e-10,1.157031299435167893e-04,-2.583335477259538254e-06
3.750000000000000555e-02,6.250000000000000130e-04,6.856656193677706312e+01,1.000000000000000036e-10,1.228731243512184643e-04,-2.794160328516567648e-06
3.916666666666666907e-02,6.250000000000000130e-04,6.645658407917861155e+01,1.000000000000000036e-10,1.305021457450977990e-04,-2.927605716892571257e-06
4.083333333333333259e-02,6.250000000000000130e-04,6.421649041194046958e+01,1.000000000000000036e-10,1.383131163723169904e-04,-2.930622253521732578e-06
4.250000000000000305e-02,6.250000000000000130e-04,6.184614686676804496e+01,1.000000000000000036e-10,1.458787988475892356e-04,-2.743639602932716426e-06
4.416666666666666657e-02,6.250000000000000130e-04,5.935386378368749405e+01,1.000000000000000036e-10,1.526440782814309362e-04,-2.330319972447795802e-06
4.583333333333333703e-02,6.250000000000000130e-04,5.675801092405367854e+01,1.000000000000000036e-10,1.580505595975570875e-04,-1.724541014645808288e-06
4.750000000000000056e-02,6.250000000000000130e-04,5.408551179710225654e+01,1.000000000000000036e-10,1.617325894930433711e-04,-1.036981406969061891e-06
4.916666666666667102e-02,6.250000000000000130e-04,5.136692460761889834e+01,1.000000000000000036e-10,1.635730921419579912e-04,-3.433955797171960526e-07
5.083333333333333454e-02,6.250000000000000130e-04,4.863307539237032273e+01,1.000000000000000036e-10,1.635730921419582080e-04,3.433955797180487501e-07
5.250000000000000500e-02,6.250000000000000130e-04,4.591448820288695742e+01,1.000000000000000036e-10,1.617325894930431813e-04,1.036981406969630250e-06
5.416666666666666852e-02,6.250000000000000130e-04,4.324198907593554964e+01,1.000000000000000036e-10,1.580505595975553799e-04,1.724541014647229397e-06
5.583333333333333898e-02,6.250000000000000130e-04,4.064613621630177676e+01,1.000000000000000036e-10,1.526440782814277378e-04,2.330319972448364161e-06
5.750000000000000250e-02,6.250000000000000130e-04,3.815385313322128980e+01,1.000000000000000036e-10,1.458787988475845464e-04,2.743639602933284785e-06
5.916666666666667296e-02,6.250000000000000130e-04,3.578350958804895754e+01,1.000000000000000036e-10,1.383131163723112171e-04,2.930622253522300937e-06
6.083333333333333648e-02,6.250000000000000130e-04,3.354341592081091505e+01,1.000000000000000036e-10,1.305021457450915919e-04,2.927605716893139617e-06
6.250000000000000000e-02,6.250000000000000130e-04,3.143343806321257006e+01,1.000000000000000036e-10,1.228731243512112001e-04,2.794160328517420187e-06
6.416666666666667740e-02,6.250000000000000130e-04,2.944764510910387401e+01,1.000000000000000036e-10,1.157031299435079395e-04,2.583335477260106613e-06
6.583333333333334092e-02,6.250000000000000130e-04,2.757666706509563781e+01,1.000000000000000036e-10,1.091475748923624513e-04,2.333330811098192533e-06
6.750000000000000444e-02,6.250000000000000130e-04,2.580939261269179141e+01,1.000000000000000036e-10,1.032771458177700297e-04,2.069490994845608228e-06
6.916666666666666796e-02,6.250000000000000130e-04,2.413409553783663597e+01,1.000000000000000036e-10,9.810675810336563188e-05,1.808299790957902988e-06
7.083333333333333148e-02,6.250000000000000130e-04,2.253916734257960286e+01,1.000000000000000036e-10,9.361523266190389350e-05,1.560344290138430865e-06
7.250000000000000888e-02,6.250000000000000130e-04,2.101358778243983849e+01,1.000000000000000036e-10,8.975867447937692150e-05,1.332074346756541908e-06
7.416666666666667240e-02,6.250000000000000130e-04,1.954721152660037120e+01,1.000000000000000036e-10,8.648005858306857070e-05,1.126887575474597529e-06
7.583333333333333592e-02,6.250000000000000130e-04,1.813091916300421857e+01,1.000000000000000036e-10,8.371630444599541449e-05,9.459280273303247875e-07
7.749999999999999944e-02,6.250000000000000130e-04,1.675666804506719032e+01,1.000000000000000036e-10,8.140340048610930201e-05,7.887499425844168076e-07
7.916666666666667684e-02,6.250000000000000130e-04,1.541747248013390781e+01,1.000000000000000036e-10,7.947990328478407715e-05,6.538729584095647305e-07
8.083333333333334036e-02,6.250000000000000130e-04,1.410733793557438709e+01,1.000000000000000036e-10,7.788910920432596044e-05,5.392226019338151708e-07
8.250000000000000389e-02,6.250000000000000130e-04,1.282116883998970813e+01,1.000000000000000036e-10,7.658020441294832140e-05,4.424559915994307332e-07
8.416666666666666741e-02,6.250000000000000130e-04,1.155466445514277574e+01,1.000000000000000036e-10,7.550868312638809449e-05,3.611849733206894756e-07
8.583333333333334481e-02,6.250000000000000130e-04,1.030421273577677077e+01,1.000000000000000036e-10,7.463628160147119453e-05,2.931161703669004708e-07
8.750000000000000833e-02,6.250000000000000130e-04,9.066788401760401683e+00,1.000000000000000036e-10,7.393062166202358132e-05,2.361287842188630105e-07
8.916666666666667185e-02,6.250000000000000130e-04,7.839858680375984434e+00,1.000000000000000036e-10,7.336470504539245444e-05,1.883086782543585336e-07
9.083333333333333537e-02,6.250000000000000130e-04,6.621298233580652948e+00,1.000000000000000036e-10,7.291635547676205797e-05,1.479534982184205030e-07
9.250000000000001277e-02,6.250000000000000130e-04,5.409313497817248795e+00,1.000000000000000036e-10,7.256767120721131022e-05,1.135597039447588578e-07
9.416666666666667629e-02,6.250000000000000130e-04,4.202375860006942077e+00,1.000000000000000036e-10,7.230452620405581027e-05,8.379904842183092793e-08
9.583333333333333981e-02,6.250000000000000130e-04,2.999162624348721273e+00,1.000000000000000036e-10,7.211614156160006022e-05,5.748943341991718764e-08
9.750000000000000333e-02,6.250000000000000130e-04,1.798504474620272520e+00,1.000000000000000036e-10,7.199473810258283986e-05,3.356316084303755792e-08
9.916666666666666685e-02,6.250000000000000130e-04,5.993380209292925587e-01,1.000000000000000036e-10,7.193527486648693364e-05,1.103426622888647898e-08
8.333333333333333868e-04,1.874999999999999931e-03,9.940093783572609709e+01,1.000000000000000036e-10,7.190182679622408358e-05,-3.284384497248992469e-08
2.500000000000000052e-03,1.874999999999999931e-03,9.820233460439976625e+01,1.000000000000000036e-10,7.195989672723141699e-05,-9.990345742494354686e-08
4.166666666666666609e-03,1.874999999999999931e-03,9.700227461148504915e+01,1.000000000000000036e-10,7.207846464595644574e-05,-1.711276701428232441e-07
5.833333333333333599e-03,1.874999999999999931e-03,9.579971911620121716e+01,1.000000000000000036e-10,7.226247350120017004e-05,-2.494559349702285220e-07
7.500000000000000590e-03,1.874999999999999931e-03,9.459352549477837613e+01,1.000000000000000036e-10,7.251955536990036509e-05,-3.380729712830543101e-07
9.166666666666666713e-03,1.874999999999999931e-03,9.338240060387120423e+01,1.000000000000000036e-10,7.286029374606568332e-05,-4.405072151627108742e-07
1.083333333333333370e-02,1.874999999999999931e-03,9.216484903657618588e+01,1.000000000000000036e-10,7.329857358092650428e-05,-5.607270139273622000e-07
1.250000000000000069e-02,1.874999999999999931e-03,9.093911481784031992e+01,1.000000000000000036e-10,7.385201604297135102e-05,-7.032297575528899003e-07
1.416666666666666768e-02,1.874999999999999931e-03,8.970311516847714017e+01,1.000000000000000036e-10,7.454248945967505298e-05,-8.731152141461960624e-07
1.583333333333333467e-02,1.874999999999999931e-03,8.845436516918448433e+01,1.000000000000000036e-10,7.539667826049451611e-05,-1.076128673841480956e-06
