x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
6.250000000000000130e-04,1.250000000000000026e-04,3.327276693076674974e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-03,1.250000000000000026e-04,3.328334165793565944e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000173e-03,1.250000000000000026e-04,3.328939574290828318e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000416e-03,1.250000000000000026e-04,3.329271384283915722e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.624999999999999792e-03,1.250000000000000026e-04,3.329479562243378723e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000035e-03,1.250000000000000026e-04,3.329626427946083140e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000278e-03,1.250000000000000026e-04,3.329738323677830181e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.374999999999999653e-03,1.250000000000000026e-04,3.329827912815187574e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.062500000000000076e-02,1.250000000000000026e-04,3.329902111959157764e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.187500000000000014e-02,1.250000000000000026e-04,3.329965093788147783e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.312499999999999951e-02,1.250000000000000026e-04,3.330019566105378317e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.437500000000000062e-02,1.250000000000000026e-04,3.330067383796272225e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.562500000000000000e-02,1.250000000000000026e-04,3.330109871362260492e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.687500000000000111e-02,1.250000000000000026e-04,3.330148006332870523e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.812499999999999875e-02,1.250000000000000026e-04,3.330182529934944000e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.937499999999999986e-02,1.250000000000000026e-04,3.330214017085625073e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.062500000000000097e-02,1.250000000000000026e-04,3.330242922383749260e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.187500000000000208e-02,1.250000000000000026e-04,3.330269611305084254e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.312499999999999972e-02,1.250000000000000026e-04,3.330294381938511492e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.437500000000000083e-02,1.250000000000000026e-04,3.330317480486788213e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.562500000000000194e-02,1.250000000000000026e-04,3.330339112547492846e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.687499999999999958e-02,1.250000000000000026e-04,3.330359451472596675e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.812500000000000069e-02,1.250000000000000026e-04,3.330378644664841659e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.937500000000000180e-02,1.250000000000000026e-04,3.330396818391284910e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.062499999999999944e-02,1.250000000000000026e-04,3.330414081514085751e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187500000000000056e-02,1.250000000000000026e-04,3.330430528419395841e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.312500000000000167e-02,1.250000000000000026e-04,3.330446241344455984e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.437500000000000278e-02,1.250000000000000026e-04,3.330461292247611027e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.562500000000000389e-02,1.250000000000000026e-04,3.330475744327037546e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.687499999999999806e-02,1.250000000000000026e-04,3.330489653266574805e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.812499999999999917e-02,1.250000000000000026e-04,3.330503068267283311e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.937500000000000028e-02,1.250000000000000026e-04,3.330516032909031878e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.062500000000000139e-02,1.250000000000000026e-04,3.330528585875880481e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.187500000000000250e-02,1.250000000000000026e-04,3.330540761571338635e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.312500000000000361e-02,1.250000000000000026e-04,3.330552590643654867e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
