x,y,u,v,pressure,theta,vorticity
1.041666666666666609e-02,1.041666666666666609e-02,3.329666810066804467e-05,-3.329666810074721176e-05,1.251269672928339780e-02,5.000000000000000000e-01,6.102720080737942653e-04
3.125000000000000000e-02,1.041666666666666609e-02,9.323791670105820390e-05,-2.664458049972211456e-05,1.243655687480329716e-02,5.000000000000000000e-01,3.885636237885211133e-03
5.208333333333332871e-02,1.041666666666666609e-02,1.069911336559810778e-04,1.289136354479924402e-05,1.223378500653364044e-02,5.000000000000000000e-01,1.194182294663007071e-02
7.291666666666665741e-02,1.041666666666666609e-02,3.192440010477820816e-05,6.217537000640361547e-05,1.194965205652286783e-02,5.000000000000000000e-01,2.485896646043239677e-02
9.375000000000000000e-02,1.041666666666666609e-02,-1.405796041979700270e-04,1.103286342963446197e-04,1.162853477749237890e-02,5.000000000000000000e-01,4.352275490287355747e-02
1.145833333333333287e-01,1.041666666666666609e-02,-4.037081229349089614e-04,1.527998844405943147e-04,1.130559788361787561e-02,5.000000000000000000e-01,6.799598176986586251e-02
1.354166666666666574e-01,1.041666666666666609e-02,-7.445615792182743928e-04,1.880535718427711438e-04,1.100639652180933001e-02,5.000000000000000000e-01,9.781234947718987771e-02
1.562500000000000000e-01,1.041666666666666609e-02,-1.148562713229015885e-03,2.159475621679704841e-04,1.074855272836376142e-02,5.000000000000000000e-01,1.322203435154759854e-01
1.770833333333333148e-01,1.041666666666666609e-02,-1.601460303964598146e-03,2.369500285676116684e-04,1.054370532462847385e-02,5.000000000000000000e-01,1.703453930792447335e-01
1.979166666666666574e-01,1.041666666666666609e-02,-2.090160575362923299e-03,2.517502428307136198e-04,1.039920786429706159e-02,5.000000000000000000e-01,2.112861489847277230e-01
2.187500000000000000e-01,1.041666666666666609e-02,-2.602970378862810939e-03,2.610595606691738573e-04,1.031946957623094963e-02,5.000000000000000000e-01,2.541659340651992727e-01
2.395833333333333148e-01,1.041666666666666609e-02,-3.129540809924876398e-03,2.655108703928912763e-04,1.030695332465522175e-02,5.000000000000000000e-01,2.981557499356873864e-01
2.604166666666666297e-01,1.041666666666666609e-02,-3.660665065602964480e-03,2.656133852851970769e-04,1.036287482369230295e-02,5.000000000000000000e-01,3.424801839968740214e-01
2.812500000000000000e-01,1.041666666666666609e-02,-4.188019168554303617e-03,2.617407176661421691e-04,1.048765208404335049e-02,5.000000000000000000e-01,3.864138564847271473e-01
3.020833333333333148e-01,1.041666666666666609e-02,-4.703899561211496647e-03,2.541396749910503181e-04,1.068115204720745948e-02,5.000000000000000000e-01,4.292735373491672335e-01
3.229166666666666297e-01,1.041666666666666609e-02,-5.200991104115494298e-03,2.429518679129483096e-04,1.094277772905749221e-02,5.000000000000000000e-01,4.704093602966787913e-01
3.437500000000000000e-01,1.041666666666666609e-02,-5.672185741850339566e-03,2.282427698218963887e-04,1.127143526173641358e-02,5.000000000000000000e-01,5.091973735602415285e-01
3.645833333333333148e-01,1.041666666666666609e-02,-6.110462957078144700e-03,2.100344454059086907e-04,1.166541633604909096e-02,5.000000000000000000e-01,5.450348122952231034e-01
3.854166666666666297e-01,1.041666666666666609e-02,-6.508836638337253330e-03,1.883392358532000484e-04,1.212222785578792768e-02,5.000000000000000000e-01,5.773388481111443316e-01
4.062500000000000000e-01,1.041666666666666609e-02,-6.860368313807623485e-03,1.631924396171701330e-04,1.263839723579059625e-02,5.000000000000000000e-01,6.055491006187958547e-01
4.270833333333333148e-01,1.041666666666666609e-02,-7.158243284190807937e-03,1.346825307660137229e-04,1.320927878993091893e-02,5.000000000000000000e-01,6.291338387517211306e-01
4.479166666666666297e-01,1.041666666666666609e-02,-7.395903527523945212e-03,1.029777125671244871e-04,1.382888408593754490e-02,5.000000000000000000e-01,6.475995211127484330e-01
4.687500000000000000e-01,1.041666666666666609e-02,-7.567228756310647418e-03,6.834751621957719072e-05,1.448975690034985664e-02,5.000000000000000000e-01,6.605030959455561179e-01
4.895833333333333148e-01,1.041666666666666609e-02,-7.666753665823486733e-03,3.117739329326174418e-05,1.518291111241835967e-02,5.000000000000000000e-01,6.674662867922548370e-01
5.104166666666666297e-01,1.041666666666666609e-02,-7.689902952930545432e-03,-8.028106186202519273e-06,1.589784620346430116e-02,5.000000000000000000e-01,6.681909897179564295e-01
5.312500000000000000e-01,1.041666666666666609e-02,-7.633211563558636378e-03,-4.866328318570689040e-05,1.662268501567755463e-02,5.000000000000000000e-01,6.624784873836071508e-01
5.520833333333332593e-01,1.041666666666666609e-02,-7.494599030422828545e-03,-8.994924995010097001e-05,1.734413098654922006e-02,5.000000000000000000e-01,6.502474051496459628e-01
5.729166666666666297e-01,1.041666666666666609e-02,-7.273697801379187811e-03,-1.309519790935405640e-04,1.804773545209556115e-02,5.000000000000000000e-01,6.315477899399668527e-01
5.937500000000000000e-01,1.041666666666666609e-02,-6.972128158991825961e-03,-1.706176632938205269e-04,1.871833588224181000e-02,5.000000000000000000e-01,6.065751937686532091e-01
6.145833333333332593e-01,1.041666666666666609e-02,-6.593702844301312788e-03,-2.078076513966931342e-04,1.934057593710022949e-02,5.000000000000000000e-01,5.756815249009676894e-01
6.354166666666666297e-01,1.041666666666666609e-02,-6.144555435607467093e-03,-2.413397572971525871e-04,1.989950737244861392e-02,5.000000000000000000e-01,5.393807183133682015e-01
6.562500000000000000e-01,1.041666666666666609e-02,-5.633178662485457955e-03,-2.700370158248566600e-04,2.038125102671031058e-02,5.000000000000000000e-01,4.983484069544976136e-01
6.770833333333332593e-01,1.041666666666666609e-02,-5.070359116368742744e-03,-2.927825302918594182e-04,2.077368624724518220e-02,5.000000000000000000e-01,4.534149026660059811e-01
6.979166666666666297e-01,1.041666666666666609e-02,-4.468998838080840037e-03,-3.085777479960428549e-04,2.106713179227871074e-02,5.000000000000000000e-01,4.055509995913573196e-01
7.187500000000000000e-01,1.041666666666666609e-02,-3.843820411914795204e-03,-3.166006781700024661e-04,2.125497784532808659e-02,5.000000000000000000e-01,3.558463894319048859e-01
