x,y,u,v,pressure,theta,vorticity
3.125000000000000000e-02,3.125000000000000000e-02,-1.140107969204362352e-02,1.140107969204361658e-02,1.664171120981691732e-02,8.849567234604465149e-01,8.553150150208804758e-02
9.375000000000000000e-02,3.125000000000000000e-02,-3.449554053830750783e-02,1.169338115422026078e-02,2.222110875413023379e-02,6.801688893937994917e-01,2.797566361189887107e-01
1.562500000000000000e-01,3.125000000000000000e-02,-5.328654921015712337e-02,7.097627517629353025e-03,3.401788873107969291e-02,5.195356981198909763e-01,5.557894110517158648e-01
2.187500000000000000e-01,3.125000000000000000e-02,-6.393027350611178716e-02,3.546096778325315540e-03,4.693901119461102445e-02,4.037177908546576988e-01,8.598543746156915857e-01
2.812500000000000000e-01,3.125000000000000000e-02,-6.930977217399547641e-02,1.833401889558375656e-03,5.890847786129920632e-02,3.241880158061026251e-01,1.103484433979432744e+00
3.437500000000000000e-01,3.125000000000000000e-02,-7.238522702469565862e-02,1.242052961141799396e-03,6.975386043207401632e-02,2.706241910468041856e-01,1.269737023799826670e+00
4.062500000000000000e-01,3.125000000000000000e-02,-7.457784269238926234e-02,9.505627065518096374e-04,8.004506541803280140e-02,2.341306484764720808e-01,1.363478849411314808e+00
4.687500000000000000e-01,3.125000000000000000e-02,-7.594357280950006506e-02,4.151674105589949273e-04,9.040829658440852068e-02,2.080199274880653870e-01,1.390306605802567708e+00
5.312500000000000000e-01,3.125000000000000000e-02,-7.571771449360933937e-02,-6.410257264497316778e-04,1.012258854975449096e-01,1.875924596885827356e-01,1.352262682528147408e+00
5.937500000000000000e-01,3.125000000000000000e-02,-7.279315986086640211e-02,-2.283528906293209697e-03,1.125622472324186996e-01,1.695848863376214211e-01,1.251837759859318444e+00
6.562500000000000000e-01,3.125000000000000000e-02,-6.620083205085353084e-02,-4.308798903719662440e-03,1.239401890702436226e-01,1.516787323779530960e-01,1.095127847138190225e+00
7.187500000000000000e-01,3.125000000000000000e-02,-5.558967074058310948e-02,-6.302362406550750251e-03,1.344644575056940516e-01,1.321605531488382057e-01,8.931534556817057879e-01
7.812500000000000000e-01,3.125000000000000000e-02,-4.159235626476393693e-02,-7.694952069268421423e-03,1.430394635758769073e-01,1.097041538677580724e-01,6.639587456198723370e-01
8.437500000000000000e-01,3.125000000000000000e-02,-2.602202491188373989e-02,-7.875379283611776485e-03,1.487296898383784760e-01,8.332925182943440312e-02,4.340724085833659318e-01
9.062500000000000000e-01,3.125000000000000000e-02,-1.181183950362125513e-02,-6.334806124650707408e-03,1.511591485004510627e-01,5.259444701444669634e-02,2.394132186774344251e-01
9.687500000000000000e-01,3.125000000000000000e-02,-2.738516689485273863e-03,-2.738516689485273863e-03,1.507786776791496530e-01,1.806453851506748323e-02,1.067603292306414237e-01
3.125000000000000000e-02,9.375000000000000000e-02,-1.645449707374748230e-02,3.925665645783471547e-02,3.446060381173571274e-02,8.803793239888522137e-01,1.240016038367275780e-01
9.375000000000000000e-02,9.375000000000000000e-02,-5.413205638295143229e-02,4.460982454389698926e-02,3.366176815135361877e-02,6.689380258790329492e-01,1.092143204990469463e-01
1.562500000000000000e-01,9.375000000000000000e-02,-9.209702958883683732e-02,3.093716600568766073e-02,3.751068062626738975e-02,5.057541859667454842e-01,1.820089275926831118e-01
2.187500000000000000e-01,9.375000000000000000e-02,-1.203032847336280020e-01,1.855653773101283155e-02,4.328796109598165298e-02,3.912427535005373325e-01,4.535264453456160361e-01
2.812500000000000000e-01,9.375000000000000000e-02,-1.394295712063017834e-01,1.132874607742832829e-02,4.972430487485494238e-02,3.151318201089450821e-01,7.084285085960561057e-01
3.437500000000000000e-01,9.375000000000000000e-02,-1.521852106036881147e-01,7.577803021358349260e-03,5.651387108623028011e-02,2.654768901781744406e-01,8.811233335216629436e-01
4.062500000000000000e-01,9.375000000000000000e-02,-1.602087135558878384e-01,4.830931266228602645e-03,6.380322793415277305e-02,2.324988067995879815e-01,9.672645194648764599e-01
4.687500000000000000e-01,9.375000000000000000e-02,-1.636335298886613110e-01,1.325345300766482591e-03,7.180340334167947813e-02,2.092581505626019411e-01,9.794187737276164318e-01
5.312500000000000000e-01,9.375000000000000000e-02,-1.615834803100446582e-01,-3.827111511164619541e-03,8.061842833344642911e-02,1.911514012277054919e-01,9.317675218528950198e-01
5.937500000000000000e-01,9.375000000000000000e-02,-1.528669064407087719e-01,-1.073857162365712825e-02,9.019976040622301738e-02,1.749766167791592386e-01,8.397373730112145385e-01
6.562500000000000000e-01,9.375000000000000000e-02,-1.366557392471191845e-01,-1.865725118995821205e-02,9.997880362416988742e-02,1.583943805413204065e-01,7.199064244203546847e-01
7.187500000000000000e-01,9.375000000000000000e-02,-1.131048383034641003e-01,-2.611597237423770104e-02,1.090167320437909759e-01,1.395943355082955584e-01,5.887441985684580548e-01
7.812500000000000000e-01,9.375000000000000000e-02,-8.387628630453647371e-02,-3.110720857632826367e-02,1.161909720106560628e-01,1.170857424846492301e-01,4.632995717610839392e-01
8.437500000000000000e-01,9.375000000000000000e-02,-5.247147747603525536e-02,-3.143826295793335224e-02,1.205649841146127221e-01,8.971751174100754678e-02,3.616872112614983870e-01
9.062500000000000000e-01,9.375000000000000000e-02,-2.420673437389765648e-02,-2.524685096072921270e-02,1.218044984516845342e-01,5.698204621435578460e-02,3.060157459464198926e-01
9.687500000000000000e-01,9.375000000000000000e-02,-5.814747831234929297e-03,-1.129178121020547702e-02,1.203070933221846439e-01,1.962574426065299277e-02,2.580563808516750379e-01
3.125000000000000000e-02,1.562500000000000000e-01,-1.619494399951002320e-02,7.190609753109222790e-02,4.021364843399227729e-02,8.784162023528880869e-01,2.706227464411684602e-01
9.375000000000000000e-02,1.562500000000000000e-01,-5.646682105283543085e-02,8.990981983316884141e-02,3.662107316406360003e-02,6.628508138264157523e-01,-3.620033993486659885e-02
1.562500000000000000e-01,1.562500000000000000e-01,-1.020909519721266701e-01,6.922627484159246669e-02,3.592581624829306597e-02,4.977378636712704862e-01,-2.900358190144178838e-01
2.187500000000000000e-01,1.562500000000000000e-01,-1.402294991025731241e-01,4.661223117034563046e-02,3.685515338966800780e-02,3.844778861155662142e-01,-1.374347422814987674e-01
2.812500000000000000e-01,1.562500000000000000e-01,-1.688420704581569676e-01,3.101191046635312643e-02,3.895222013907063269e-02,3.118827318823297334e-01,7.804115779062342773e-02
3.437500000000000000e-01,1.562500000000000000e-01,-1.890234585261032496e-01,2.083166609776617578e-02,4.213138516451388205e-02,2.666120118116529492e-01,2.308684987218306006e-01
4.062500000000000000e-01,1.562500000000000000e-01,-2.017383653460906867e-01,1.231547796200796810e-02,4.648916175309387999e-02,2.379400981192764941e-01,3.000311864356400293e-01
4.687500000000000000e-01,1.562500000000000000e-01,-2.070289623028453430e-01,2.556211894515242333e-03,5.211914118806550145e-02,2.185543407062715549e-01,3.024405933060516638e-01
5.312500000000000000e-01,1.562500000000000000e-01,-2.042525716496448318e-01,-9.884418336730562554e-03,5.905464716945255099e-02,2.038346309491055330e-01,2.639079884323216052e-01
5.937500000000000000e-01,1.562500000000000000e-01,-1.925904711660618163e-01,-2.505993915101007580e-02,6.722370407711769635e-02,1.904117807838404119e-01,2.111727687474228565e-01
6.562500000000000000e-01,1.562500000000000000e-01,-1.715665358539784358e-01,-4.157098616827823584e-02,7.597553729614744955e-02,1.756883917276960971e-01,1.688659044457769265e-01
7.187500000000000000e-01,1.562500000000000000e-01,-1.416326529480104179e-01,-5.668702124554077237e-02,8.424484192106612701e-02,1.575301820248810880e-01,1.568620136636054707e-01
7.812500000000000000e-01,1.562500000000000000e-01,-1.048270933185950771e-01,-6.657027133336815283e-02,9.072639247778596649e-02,1.340745315476894739e-01,1.894870872107160542e-01
8.437500000000000000e-01,1.562500000000000000e-01,-6.537256870397198383e-02,-6.683453364401778507e-02,9.430440276316101600e-02,1.038590129189991135e-01,2.745175408189695077e-01
9.062500000000000000e-01,1.562500000000000000e-01,-2.991732599919586649e-02,-5.357056608155850996e-02,9.459036149291694118e-02,6.634646525341589274e-02,4.167899185597842560e-01
9.687500000000000000e-01,1.562500000000000000e-01,-7.085424794897184422e-03,-2.419195383633759161e-02,9.211501646060887838e-02,2.283825454537934466e-02,4.864829568052526643e-01
3.125000000000000000e-02,2.187500000000000000e-01,-1.427489577474031109e-02,1.023759373053425570e-01,3.676954779725633005e-02,8.793487429344024608e-01,5.303468236769605104e-01
9.375000000000000000e-02,2.187500000000000000e-01,-5.228683658059286865e-02,1.377237979180964689e-01,3.210520905586114471e-02,6.635462467687116561e-01,3.203234674462041021e-03
1.562500000000000000e-01,2.187500000000000000e-01,-9.914014087485781279e-02,1.138897319702210365e-01,2.892162299098845202e-02,4.983117554280047656e-01,-5.416490868903131028e-01
2.187500000000000000e-01,2.187500000000000000e-01,-1.413383063236799964e-01,8.228548662098572608e-02,2.674732991433647483e-02,3.866652005834966266e-01,-5.142035661099447763e-01
