x,y,u,v,pressure,theta,vorticity
1.041666666666666609e-02,1.041666666666666609e-02,-7.423499343273886816e-04,7.423499343274634916e-04,-3.212826393259398533e-02,9.644954682766202492e-01,8.990306940370773603e-02
3.125000000000000000e-02,1.041666666666666609e-02,-3.129159170221444859e-03,1.644459301566667713e-03,-3.244368766636052809e-02,8.940100818201508481e-01,2.123888122814549528e-01
5.208333333333332871e-02,1.041666666666666609e-02,-6.709329225131815955e-03,1.935710753343703816e-03,-3.113047597737929328e-02,8.251178199182501727e-01,3.915790810672322708e-01
7.291666666666665741e-02,1.041666666666666609e-02,-1.050190830699818806e-02,1.856868328522669155e-03,-2.827482246018621012e-02,7.589266344132288289e-01,6.080555312239146470e-01
9.375000000000000000e-02,1.041666666666666609e-02,-1.395852551296342808e-02,1.599748877442570437e-03,-2.424766416176628303e-02,6.964177638953941152e-01,8.311473125891880587e-01
1.145833333333333287e-01,1.041666666666666609e-02,-1.684050757131933321e-02,1.282233180913335338e-03,-1.945864202173309965e-02,6.383398510862419162e-01,1.039953358946969830e+00
1.354166666666666574e-01,1.041666666666666609e-02,-1.909225366106483135e-02,9.695129088321595510e-04,-1.426283755412907986e-02,5.851668319758588366e-01,1.223171007950795808e+00
1.562500000000000000e-01,1.041666666666666609e-02,-2.075595299607842920e-02,6.941864261814427407e-04,-8.935012498119725144e-03,5.371055002119929922e-01,1.376673676188363338e+00
1.770833333333333148e-01,1.041666666666666609e-02,-2.191974652774657945e-02,4.696071054867075631e-04,-3.671012609598765103e-03,4.941338025463019035e-01,1.500974237230834341e+00
1.979166666666666574e-01,1.041666666666666609e-02,-2.268743900711828188e-02,2.980853738849915057e-04,1.401204079517402723e-03,4.560528861666858225e-01,1.599216100535378438e+00
2.187500000000000000e-01,1.041666666666666609e-02,-2.316139653017400615e-02,1.758721491707344528e-04,6.208181116112661269e-03,4.225406484949556507e-01,1.675760022965630425e+00
2.395833333333333148e-01,1.041666666666666609e-02,-2.343347795900675018e-02,9.620927966200697179e-05,1.071810132710554475e-02,3.931995182084743745e-01,1.735263441293809938e+00
2.604166666666666297e-01,1.041666666666666609e-02,-2.358088971354941471e-02,5.120247488065772122e-05,1.492951148577965903e-02,3.675951871605596666e-01,1.782123848802264821e+00
2.812500000000000000e-01,1.041666666666666609e-02,-2.366504202243334756e-02,3.294983400327789608e-05,1.886194664538935750e-02,3.452856817800998845e-01,1.820175891667836998e+00
3.020833333333333148e-01,1.041666666666666609e-02,-2.373217359531005696e-02,3.418173887343109734e-05,2.254844625949002646e-02,3.258416600540025576e-01,1.852557571938973746e+00
3.229166666666666297e-01,1.041666666666666609e-02,-2.381492906167275575e-02,4.857372748926714798e-05,2.602980598739762508e-02,3.088594707580282761e-01,1.881683696706125897e+00
3.437500000000000000e-01,1.041666666666666609e-02,-2.393434566288110688e-02,7.084287371907932874e-05,2.935033622911868700e-02,2.939686374147044146e-01,1.909282606774890478e+00
3.645833333333333148e-01,1.041666666666666609e-02,-2.410189625422969051e-02,9.670771762950843768e-05,3.255486652245043189e-02,2.808352790540217248e-01,1.936465791284749161e+00
3.854166666666666297e-01,1.041666666666666609e-02,-2.432137473758654717e-02,1.227707657273484907e-04,3.568673076496300944e-02,2.691627170530180857e-01,1.963810177085367537e+00
4.062500000000000000e-01,1.041666666666666609e-02,-2.459051173134495921e-02,1.463662280310610350e-04,3.878648415188960807e-02,2.586902364548208655e-01,1.991440451318820415e+00
4.270833333333333148e-01,1.041666666666666609e-02,-2.490228028165163837e-02,1.654023222756225971e-04,4.189113205047119426e-02,2.491907175560036936e-01,2.019104303327605709e+00
4.479166666666666297e-01,1.041666666666666609e-02,-2.524589932945461856e-02,1.782167255273554548e-04,4.503368753521853896e-02,2.404676463874547698e-01,2.046237381938236677e+00
4.687500000000000000e-01,1.041666666666666609e-02,-2.560757148077591472e-02,1.834554257939383949e-04,4.824291278795181381e-02,2.323518525490503861e-01,2.072017392715997719e+00
4.895833333333333148e-01,1.041666666666666609e-02,-2.597100594091709957e-02,1.799790343472496598e-04,5.154313624649935199e-02,2.246982041596052582e-01,2.095408389038006636e+00
5.104166666666666297e-01,1.041666666666666609e-02,-2.631778103631220167e-02,1.667960610478519206e-04,5.495406983578730864e-02,2.173824046968557411e-01,2.115197188001654016e+00
5.312500000000000000e-01,1.041666666666666609e-02,-2.662759609173787415e-02,1.430189943778163264e-04,5.849057715809562186e-02,2.102979777499205116e-01,2.130024213590614668e+00
