x,numerical,analytical,error
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,6.439545790435768913e-02,6.440461727969915007e-02,-9.159375341460940234e-06
5.000000000000000278e-02,1.283938963970722991e-01,1.284121586771604373e-01,-1.826228008813823855e-05
7.500000000000001110e-02,1.916007438231958626e-01,1.916279964150011117e-01,-2.725259180524908231e-05
1.000000000000000056e-01,2.536263089499367074e-01,2.536623838321681590e-01,-3.607488223145161044e-05
1.250000000000000000e-01,3.140881835426951318e-01,3.141328583017077847e-01,-4.467475901265283156e-05
1.500000000000000222e-01,3.726136000389931868e-01,3.726665992400418070e-01,-5.299920104862021475e-05
1.750000000000000167e-01,4.288417297844553389e-01,4.289027266698413610e-01,-6.099688538602210386e-05
2.000000000000000111e-01,4.824259076614503816e-01,4.824945261650919748e-01,-6.861850364159316484e-05
2.250000000000000056e-01,5.330357693948192255e-01,5.331115864608234611e-01,-7.581706600423565590e-05
2.500000000000000000e-01,5.803592883574888450e-01,5.804418365484320663e-01,-8.254819094322130013e-05
2.750000000000000222e-01,6.241046993183875236e-01,6.241934696972226693e-01,-8.877037883514571348e-05
3.000000000000000444e-01,6.640022972721160155e-01,6.640967425399382229e-01,-9.444526782220741268e-05
3.250000000000000111e-01,6.998061002599920144e-01,6.999056381303188079e-01,-9.953787032679350943e-05
3.500000000000000333e-01,7.312953659306224985e-01,7.313993827193836506e-01,-1.040167887611520570e-04
3.750000000000000000e-01,7.582759524899047587e-01,7.583838068990085279e-01,-1.078544091037691999e-04
4.000000000000000222e-01,7.805815156497450946e-01,7.806925427208941670e-01,-1.110270711490723983e-04
4.250000000000000444e-01,7.980745341959109007e-01,7.981880494102915335e-01,-1.135152143806328340e-04
4.500000000000000111e-01,8.106471578520458854e-01,8.107624613506136946e-01,-1.153034985678091928e-04
4.750000000000000333e-01,8.182218722124886545e-01,8.183382531108325253e-01,-1.163808983438707756e-04
5.000000000000000000e-01,8.207519766443587272e-01,8.208687174155399058e-01,-1.167407711811785376e-04
5.250000000000000222e-01,8.182218722124885435e-01,8.183382531108325253e-01,-1.163808983439817979e-04
5.500000000000000444e-01,8.106471578520458854e-01,8.107624613506135836e-01,-1.153034985676981705e-04
5.750000000000000666e-01,7.980745341959107897e-01,7.981880494102914225e-01,-1.135152143806328340e-04
6.000000000000000888e-01,7.805815156497449836e-01,7.806925427208941670e-01,-1.110270711491834206e-04
6.250000000000000000e-01,7.582759524899046477e-01,7.583838068990085279e-01,-1.078544091038802222e-04
6.500000000000000222e-01,7.312953659306223875e-01,7.313993827193837616e-01,-1.040167887613741016e-04
6.750000000000000444e-01,6.998061002599919034e-01,6.999056381303189189e-01,-9.953787032701555404e-05
7.000000000000000666e-01,6.640022972721159045e-01,6.640967425399382229e-01,-9.444526782231843498e-05
7.250000000000000888e-01,6.241046993183875236e-01,6.241934696972223362e-01,-8.877037883481264657e-05
7.500000000000000000e-01,5.803592883574887340e-01,5.804418365484321773e-01,-8.254819094344334474e-05
7.750000000000000222e-01,5.330357693948191145e-01,5.331115864608235722e-01,-7.581706600445770050e-05
8.000000000000000444e-01,4.824259076614502706e-01,4.824945261650920303e-01,-6.861850364175969830e-05
8.250000000000000666e-01,4.288417297844553389e-01,4.289027266698414720e-01,-6.099688538613312616e-05
8.500000000000000888e-01,3.726136000389931868e-01,3.726665992400415295e-01,-5.299920104834265899e-05
8.750000000000000000e-01,3.140881835426951318e-01,3.141328583017078402e-01,-4.467475901270834271e-05
9.000000000000000222e-01,2.536263089499367074e-01,2.536623838321682700e-01,-3.607488223156263274e-05
9.250000000000000444e-01,1.916007438231958626e-01,1.916279964150012227e-01,-2.725259180536010462e-05
9.500000000000000666e-01,1.283938963970722713e-01,1.284121586771605206e-01,-1.826228008824926086e-05
9.750000000000000888e-01,6.439545790435768913e-02,6.440461727969888639e-02,-9.159375341197262266e-06
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
